	Competitive_strength_water	BM_production	Defence	Mortality	Palatability	Drought_resistance
Perennial_Bp	0.9	0.516	0.15	0.54	1.03	0.077
Perennial_Bd	0.9	0.516	0.125	0.54	1	0.077
Perennial_Cb	0.921	0.484	0.15	0.54	1	0.077
Perennial_Cp	0.921	0.5	0.15	0.54	1.03	0.077
Perennial_Pr	0.9	0.5	0.15	0.54	0.97	0.0774
Perennial_Pb	0.9	0.484	0.15	0.54	0.97	0.0765
Perennial_Rb	0.9	0.484	0.15	0.54	1	0.0765
Perennial_Rp	0.9	0.5	0.15	0.54	1.03	0.0765
Perennial_Base	0.9	0.5	0.15	0.54	1	0.077
Shrub_Bd	0.5	0.157	0.924	0.12	0.2	0.076
Shrub_Bp	0.5	0.157	0.95	0.12	0.243	0.076
Shrub_Bc	0.479	0.157	0.95	0.12	0.2	0.076
Shrub_Cb	0.521	0.143	0.95	0.12	0.2	0.076
Shrub_Db	0.5	0.143	0.976	0.12	0.2	0.076
Shrub_Dr	0.5	0.15	0.976	0.12	0.2	0.0771
Shrub_Dc	0.479	0.15	0.976	0.12	0.2	0.076
Shrub_Mb	0.5	0.143	0.95	0.103	0.2	0.076
Shrub_Rd	0.5	0.15	0.924	0.12	0.2	0.0748
Shrub_Rc	0.479	0.15	0.95	0.12	0.2	0.0748
Shrub_Base	0.5	0.15	0.95	0.12	0.2	0.076
Annual_Base	0.2	1.5	0.05	0.8	0.6	0.084
