	Competitive_strength_water	BM_production	Defence	Mortality	Palatability	Drought_resistance
Perennial_Bp	0.9	0.518	0.95	0.54	0.898	0.077
Perennial_Bd	0.9	0.518	0.944	0.54	0.2	0.077
Perennial_Cb	0.924	0.482	0.95	0.54	0.2	0.077
Perennial_Cp	0.924	0.5	0.95	0.54	0.898	0.077
Perennial_Pr	0.9	0.5	0.95	0.54	0	0.0774
Perennial_Pb	0.9	0.482	0.95	0.54	0	0.077
Perennial_Rb	0.9	0.482	0.95	0.54	0.2	0.0765
Perennial_Rp	0.9	0.5	0.95	0.54	0.898	0.0765
Perennial_Base	0.9	0.5	0.95	0.54	0.2	0.077
Shrub_Bd	0.5	0.158	0.614	0.12	1	0.076
Shrub_Bp	0.5	0.158	0.7	0.12	0.709	0.076
Shrub_Bc	0.529	0.158	0.7	0.12	1	0.076
Shrub_Cb	0.471	0.143	0.7	0.12	1	0.076
Shrub_Db	0.5	0.143	0.786	0.12	1	0.076
Shrub_Dr	0.5	0.15	0.786	0.12	1	0.083
Shrub_Dc	0.529	0.15	0.786	0.12	1	0.076
Shrub_Mb	0.5	0.143	0.7	0.104	1	0.076
Shrub_Rd	0.5	0.15	0.614	0.12	1	0.069
Shrub_Rc	0.529	0.15	0.7	0.12	1	0.069
Shrub_Base	0.5	0.15	0.7	0.12	1	0.076
Annual_Base	0.2	1.5	0.95	0.8	0.1	0.084
