year	fire	meanGCover0	meanGB0	pgrest0	grazedGBM0	PTranspirationL10	PTranspirationL20	meanGCover1	meanGB1	pgrest1	grazedGBM1	PTranspirationL11	PTranspirationL21	meanGCover2	meanGB2	pgrest2	grazedGBM2	PTranspirationL12	PTranspirationL22	meanGCover3	meanGB3	pgrest3	grazedGBM3	PTranspirationL13	PTranspirationL23	meanGCover4	meanGB4	pgrest4	grazedGBM4	PTranspirationL14	PTranspirationL24	meanGCover5	meanGB5	pgrest5	grazedGBM5	PTranspirationL15	PTranspirationL25	meanGCover6	meanGB6	pgrest6	grazedGBM6	PTranspirationL16	PTranspirationL26	meanGCover7	meanGB7	pgrest7	grazedGBM7	PTranspirationL17	PTranspirationL27	meanGCover8	meanGB8	pgrest8	grazedGBM8	PTranspirationL18	PTranspirationL28	meanSCover0	MaxSCover0	MinSCover0	SDSCover0	meanSB0	srest0	grazedSBM0	shrubCells0	estCells0	sc010	sc10	sc100	STranspirationL10	STranspirationL20	meanSCover1	MaxSCover1	MinSCover1	SDSCover1	meanSB1	srest1	grazedSBM1	shrubCells1	estCells1	sc011	sc11	sc101	STranspirationL11	STranspirationL21	meanSCover2	MaxSCover2	MinSCover2	SDSCover2	meanSB2	srest2	grazedSBM2	shrubCells2	estCells2	sc012	sc12	sc102	STranspirationL12	STranspirationL22	meanSCover3	MaxSCover3	MinSCover3	SDSCover3	meanSB3	srest3	grazedSBM3	shrubCells3	estCells3	sc013	sc13	sc103	STranspirationL13	STranspirationL23	meanSCover4	MaxSCover4	MinSCover4	SDSCover4	meanSB4	srest4	grazedSBM4	shrubCells4	estCells4	sc014	sc14	sc104	STranspirationL14	STranspirationL24	meanSCover5	MaxSCover5	MinSCover5	SDSCover5	meanSB5	srest5	grazedSBM5	shrubCells5	estCells5	sc015	sc15	sc105	STranspirationL15	STranspirationL25	meanSCover6	MaxSCover6	MinSCover6	SDSCover6	meanSB6	srest6	grazedSBM6	shrubCells6	estCells6	sc016	sc16	sc106	STranspirationL16	STranspirationL26	meanSCover7	MaxSCover7	MinSCover7	SDSCover7	meanSB7	srest7	grazedSBM7	shrubCells7	estCells7	sc017	sc17	sc107	STranspirationL17	STranspirationL27	meanSCover8	MaxSCover8	MinSCover8	SDSCover8	meanSB8	srest8	grazedSBM8	shrubCells8	estCells8	sc018	sc18	sc108	STranspirationL18	STranspirationL28	meanSCover9	MaxSCover9	MinSCover9	SDSCover9	meanSB9	srest9	grazedSBM9	shrubCells9	estCells9	sc019	sc19	sc109	STranspirationL19	STranspirationL29	meanSCover10	MaxSCover10	MinSCover10	SDSCover10	meanSB10	srest10	grazedSBM10	shrubCells10	estCells10	sc0110	sc110	sc1010	STranspirationL110	STranspirationL210	meanACover0	meanAB0	agrest0	grazedABM0	ATranspirationL10	meanGtotalcover	meanStotalcover	meanAtotalcover	scsum01	meanRCover	effSR	meanRB	BMGrazed	AnnualRain	Annualevaporation	AnnualtranspirationL1	AnnualtranspirationL2	ML1	ML2	Richness	ShannonDiv	Evenness
0	0	0.0357487	85214.5	82173.2	6544.23	5.15409	7.33731	0.0340224	81099.5	78311	6103.46	5.11561	7.19211	0.03602	85861.2	82726.6	6678.46	5.31829	7.5849	0.0357355	85183	87628.1	0	5.15401	7.33735	0.0338154	80606.1	82921.4	0	4.96297	6.96683	0.0338474	80682.5	77924	6053.67	4.96307	6.96725	0.0357719	85270	82178.8	6606.65	5.15424	7.33723	0.0343844	81962.5	79067.1	6261.3	5.01998	7.07699	0.0343928	81982.5	78557	6879.38	5.02005	7.07695	0.0378559	0.297287	0	0.0774788	997361	979571	22169	203	0	202	202	161	5.74017	5.67658	0.0375801	0.29569	0	0.0781248	990095	971943	22616.5	203	0	202	202	151	6.00626	5.91598	0.0402456	0.299622	0	0.0823783	1.06032e+06	1.0357e+06	30637.1	203	0	202	202	166	5.99604	5.89857	0.0384653	0.29824	0	0.0786061	1.01342e+06	995528	22291.9	203	0	202	202	164	5.42182	5.37158	0.0395299	0.291467	0	0.080336	1.04147e+06	1.01797e+06	29240.5	203	0	202	202	165	5.96787	5.90103	0.0364674	0.296076	0	0.0751394	960781	943533	21492.6	203	0	203	203	155	5.17967	5.11693	0.037716	0.296456	0	0.0778653	993675	970521	28809.2	203	0	201	201	155	5.73466	5.65183	0.0379478	0.293158	0	0.0785187	999784	986541	16523.4	203	0	201	201	154	5.43718	5.35933	0.0387196	0.299838	0	0.0796032	1.02012e+06	1.00694e+06	16440	203	0	201	201	158	5.8672	5.77313	0.0376022	0.293995	0	0.0773414	990679	977691	16207.3	203	0	201	201	158	5.83889	5.7782	0.0365948	0.292082	0	0.0752463	964136	947087	21244.8	203	0	203	203	153	5.49874	5.44014	0.200253	427099	397879	35955.1	6.9021	0.313738	0.418725	0.200253	203	0	10	0	328755	417.501	81.3827	124.12	144.094	0.124666	0.113205	20	2.9942	0.14971
1	0	0.0480149	95185.8	90738.1	9493.8	7.81615	11.4189	0.0425117	84276.2	80520.1	8263.62	7.23748	10.418	0.0488748	96890.6	92285.6	9765.44	8.14711	11.9291	0.0517024	102496	104940	0	8.46813	12.4938	0.0450443	89296.9	91434.3	0	7.53359	10.9428	0.0419235	83110.1	79434.3	8123.9	6.96781	10.0093	0.048019	95193.9	90698.3	9572.7	7.81607	11.4184	0.0436326	86498.2	82552.3	8594.75	7.20669	10.411	0.0432765	85792.3	81273.8	9356.53	7.14263	10.3013	0.0355511	0.28439	0	0.0731342	778959	964616	22143.6	203	0	201	201	155	6.24275	3.27932	0.0350151	0.279958	0	0.0732471	767215	948963	21587.4	203	0	200	200	147	6.52738	3.41907	0.0387569	0.297387	0	0.0797588	849201	1.04455e+06	29300.4	203	0	200	200	163	6.60867	3.45283	0.037034	0.29824	0	0.0762443	811452	1.00465e+06	22983.4	203	0	200	200	157	6.00283	3.15319	0.0364103	0.279212	0	0.0746777	797786	980828	28566.1	203	0	199	199	158	6.48624	3.40667	0.0335191	0.287398	0	0.0699316	734437	907854	20380.3	203	0	199	199	143	5.66767	2.97938	0.035288	0.279205	0	0.072877	773194	951288	27189.7	203	0	201	201	152	6.1806	3.23661	0.0358577	0.285315	0	0.0741995	785678	977539	15842.2	203	0	201	201	150	5.92264	3.10258	0.0360537	0.290893	0	0.0748764	789972	986854	14892.5	203	0	198	198	150	6.40435	3.35231	0.0352707	0.282219	0	0.0728462	772816	960708	15945.4	203	0	200	200	155	6.22347	3.26572	0.034155	0.277858	0	0.0707469	748369	924008	20025.9	203	0	201	201	148	6.03042	3.16986	0.203348	360687	341261	26596.9	6.60098	0.413	0.392912	0.203348	203	0	10	0	328625	320.021	81.6015	143.234	135.166	0.130443	0.104881	20	2.99366	0.149683
2	0	0.0531245	120493	121710	667.961	6.94606	7.04447	0.0454211	103021	104082	552.957	6.1477	6.13192	0.0543605	123297	123658	1967.6	7.2857	7.40856	0.0619301	140466	142417	0	8.14574	8.37918	0.0517213	117311	118946	0	6.87807	6.95776	0.0446059	101172	102216	541.209	5.88614	5.85711	0.0531355	120518	120879	1915.16	6.94452	7.0441	0.0469483	106485	106835	1661.5	6.18115	6.19114	0.0461789	104740	105770	629.422	6.0712	6.06542	0.045494	0.263602	0	0.0641509	1.14048e+06	1.23857e+06	29626	203	697	851	777	147	8.09243	13.0712	0.044468	0.268625	0	0.0645378	1.11476e+06	1.2107e+06	28627.1	203	697	848	767	143	8.39419	13.5059	0.0496282	0.297387	0	0.0713321	1.24412e+06	1.34538e+06	39120.3	203	697	847	793	160	8.74929	14.0525	0.0477912	0.289062	0	0.0684963	1.19807e+06	1.30204e+06	30870.2	203	697	849	785	156	7.94069	12.7976	0.0463004	0.274894	0	0.0653987	1.1607e+06	1.25417e+06	36938.6	203	697	849	770	152	8.21652	13.2067	0.042548	0.270631	0	0.0614819	1.06663e+06	1.15783e+06	27145.7	203	697	848	746	137	7.17363	11.5459	0.0450613	0.276174	0	0.0637695	1.12963e+06	1.21987e+06	37157	203	697	851	784	146	7.99183	12.9066	0.0459968	0.279129	0	0.0659567	1.15308e+06	1.25931e+06	21202.2	203	697	851	766	148	7.70785	12.3574	0.0458333	0.284036	0	0.0661035	1.14899e+06	1.25508e+06	20956.2	203	697	845	761	144	8.24985	13.2704	0.044347	0.263044	0	0.0627842	1.11173e+06	1.21344e+06	20895.8	203	697	849	765	149	8.03643	12.9309	0.0432723	0.271366	0	0.0627559	1.08479e+06	1.17689e+06	27592	203	697	849	722	141	7.70708	12.3161	0.146144	296582	295910	930.018	3.63385	0.457426	0.500741	0.146144	853	0.00583198	10	10850.7	328997	389.425	39.6042	152.383	203.06	0.12827	0.101442	20	2.99264	0.149632
3	0	0.0496841	57093.9	57595.6	541.082	4.79002	0.323039	0.0421754	48465.4	48905.2	444.304	4.15964	0.274956	0.0505472	58085.7	57998.5	1702.89	5.00272	0.338217	0.0581932	66872	67781.8	0	5.64007	0.387422	0.0482077	55397.3	56156.9	0	4.65678	0.313476	0.041394	47567.4	48000.7	434.445	3.97331	0.261827	0.0493347	56692.3	56613.1	1653.6	4.75571	0.320499	0.0433596	49826.1	49776.8	1427.24	4.16857	0.276679	0.0429336	49336.6	49754.7	507.615	4.12408	0.273115	0.0473303	0.258495	0	0.0591403	601142	577801	29255.8	203	697	848	825	139	6.48958	0.681022	0.0466184	0.261256	0	0.0597173	592100	569164	28613.2	203	697	848	825	133	6.69834	0.701185	0.0532356	0.295076	0	0.0679466	676145	701228	40309.3	203	697	845	831	157	7.03544	0.72827	0.0514896	0.289062	0	0.0650317	653968	685433	31299.8	203	697	847	840	154	6.42925	0.670459	0.0480552	0.25723	0	0.0602687	610349	580487	36921	203	697	848	820	150	6.55578	0.680412	0.0443001	0.264873	0	0.0565028	562655	540810	27261.5	203	697	847	812	132	5.71924	0.599013	0.046877	0.26491	0	0.0586332	595385	565928	36420	203	697	851	824	143	6.3878	0.668441	0.048022	0.263098	0	0.0608366	609927	593176	21324	203	697	848	812	140	6.21746	0.649337	0.0481683	0.270634	0	0.0610256	611786	594895	21564.7	203	697	844	818	141	6.57537	0.69034	0.0466653	0.250274	0	0.0579345	592696	575513	21048.8	203	697	849	829	142	6.36476	0.671756	0.0453958	0.260445	0	0.0582605	576572	554466	27563.2	203	697	848	804	141	6.15039	0.636991	0.0569535	58558.2	58356.6	394.401	0.671977	0.42583	0.526158	0.0569535	853	0.00680273	10	12716.4	328687	117.604	19.6917	112.566	10.1465	0.0893231	0.0750004	20	2.99124	0.149562
4	0	0.0493666	71732.8	72282.9	574.845	5.78054	1.77706	0.041252	59941.8	60417	461.513	4.94848	1.49235	0.0498215	72393.8	72350.1	1505.54	5.98514	1.84352	0.0579072	84142.7	85228.6	0	6.87065	2.14629	0.0473836	68851.4	69741.9	0	5.58562	1.7086	0.0407187	59166.9	59638.7	451.354	4.72224	1.41895	0.0489165	71078.8	71040.1	1470.5	5.67887	1.74277	0.0421129	61192.6	61182.3	1239.33	4.92043	1.48861	0.0420833	61149.7	61596.5	527.782	4.91653	1.48586	0.0442924	0.249116	0	0.054997	711343	689487	27503.3	203	8	845	801	133	6.8982	3.85574	0.0440948	0.24342	0	0.0562304	708170	686518	27130.9	203	8	847	804	128	7.17573	3.9849	0.0557557	0.291939	0	0.0644971	895446	925523	48258.4	203	697	843	836	150	8.58978	5.00618	0.0545944	0.283557	0	0.0616665	876795	914473	37746.4	203	697	846	843	150	7.95091	4.67967	0.0448802	0.242301	0	0.0565547	720783	693472	33990.9	203	8	847	789	144	6.89487	3.78232	0.0419992	0.251761	0	0.0533476	674514	653532	26306.7	203	8	846	789	126	6.1011	3.39426	0.0441207	0.252906	0	0.0553625	708585	681264	33977.9	203	8	851	804	137	6.74334	3.72945	0.0460039	0.250006	0	0.0571708	738831	722956	20275.2	203	8	848	804	138	6.69847	3.75002	0.0461439	0.25557	0	0.0575167	741078	724891	20733	203	8	843	810	136	7.12561	3.99625	0.0442927	0.235105	0	0.054861	711348	695196	19863.8	203	0	849	818	138	6.90072	3.88616	0.0430628	0.252735	0	0.0553177	691596	670817	26042.9	203	8	846	782	136	6.59532	3.63652	0.087368	113588	113159	562.526	1.53608	0.419562	0.509241	0.087368	853	0.0086433	10	16237.9	328623	191.432	26.7769	128.619	58.8055	0.12164	0.0769762	20	2.98872	0.149436
5	0	0.0538411	97896.1	98520.8	572.576	5.74419	4.73021	0.0440149	80029.8	80560.3	449.643	4.82657	3.90657	0.0540782	98327.2	98371.4	1440.25	5.91229	4.87547	0.0638108	116023	117219	0	6.84144	5.73816	0.0509014	92551	93511.4	0	5.47478	4.51101	0.0433125	78752.7	79279	437.16	4.62991	3.73737	0.0529144	96211.2	96257.6	1406.4	5.63921	4.63813	0.0447537	81373	81435.8	1165.9	4.77566	3.87407	0.0450544	81919.8	82424.4	515.044	4.80866	3.8972	0.0427226	0.24542	0	0.0515253	858569	890139	26371.1	203	8	843	807	129	6.5669	9.41012	0.0427994	0.233813	0	0.0529304	860111	892112	26042.8	203	8	847	806	126	6.89211	9.78857	0.0594367	0.28826	0	0.0613668	1.19446e+06	1.21591e+06	52128.3	203	697	841	838	147	9.17496	14.2987	0.0588016	0.274568	0	0.0585837	1.1817e+06	1.21083e+06	41715.3	203	697	845	845	147	8.58626	13.562	0.0430499	0.236327	0	0.0532525	865146	893154	32258.3	203	8	846	783	139	6.54031	9.10969	0.0406547	0.232799	0	0.0502719	817012	846323	25503.1	203	8	844	793	118	5.86413	8.3457	0.0423585	0.243233	0	0.0520082	851252	877765	33074.3	203	8	850	800	131	6.44655	9.04808	0.0446771	0.242713	0	0.0536899	897847	935644	20526.6	203	8	845	817	127	6.50291	9.36123	0.0452189	0.25242	0	0.0542599	908736	947426	20600.9	203	8	842	817	134	6.92023	9.97449	0.0430477	0.227936	0	0.051796	865102	903387	18964.2	203	0	849	828	133	6.62809	9.50734	0.041316	0.239224	0	0.0519674	830300	860769	25122.3	203	8	843	781	125	6.33832	8.91486	0.0838034	136335	136045	394.11	1.55925	0.452681	0.504083	0.0838034	853	0.00459519	10	8687.39	328688	280.14	22.9407	126.674	151.229	0.125734	0.0838376	20	2.98709	0.149355
6	0	0.0461204	51056.6	50842.5	439.099	4.3654	0.279172	0.0375147	41529.9	41365.2	345.077	3.62434	0.227444	0.0462356	51184.2	50498.9	1332.55	4.47811	0.287026	0.0536727	59417.3	59435.6	0	5.22725	0.341895	0.0434392	48088.4	48105.8	0	4.12169	0.264261	0.0375941	41617.8	41454.4	342.113	3.46981	0.217115	0.0460706	51001.5	50319.2	1319.98	4.26216	0.272342	0.0378652	41917.9	41372.6	1070.49	3.57398	0.224973	0.0383338	42436.7	42245.9	394.401	3.61779	0.227329	0.0426563	0.232486	0	0.0479079	521925	500013	26752.1	203	696	843	819	119	5.28389	0.58847	0.0421571	0.229615	0	0.0486931	515817	494588	25919.2	203	696	844	821	111	5.58178	0.616004	0.0604552	0.284158	0	0.0594969	739705	696350	52620.7	203	697	839	838	145	7.33352	0.867451	0.0598553	0.274568	0	0.0564767	732365	697540	42518.4	203	697	842	842	144	6.90941	0.828914	0.0428788	0.233355	0	0.0494949	524648	497855	32571.9	203	696	846	799	135	5.26564	0.570094	0.0402762	0.222267	0	0.0464528	492803	471988	25414.6	203	696	842	812	112	4.73149	0.524352	0.0411093	0.229181	0	0.0472617	502996	476269	32493.9	203	696	845	813	119	5.18683	0.566559	0.0448432	0.236123	0	0.0498912	548683	531964	20529	203	696	845	826	121	5.24609	0.588071	0.0452914	0.239237	0	0.0503754	554167	537313	20693	203	696	841	826	131	5.6301	0.629825	0.0421641	0.213832	0	0.0470461	515902	500419	19014.1	203	693	848	834	119	5.35861	0.595895	0.0413553	0.234283	0	0.0486751	506006	485651	24852.8	203	696	841	806	117	5.0867	0.557157	0.0146015	14462.8	14419.8	107.45	0.236419	0.386846	0.503042	0.0146015	853	0.00502028	10	9469.86	328731	107.376	14.3481	98.591	9.27435	0.0794697	0.075	20	2.9867	0.149335
7	0	0.0517677	101750	102691	575.271	6.40575	4.72594	0.0409059	80454.3	81166.6	432.754	5.21427	3.7927	0.0516175	101446	101875	1314.53	6.54465	4.83653	0.06074	119379	120961	0	7.56203	5.68906	0.047595	93613	94788.9	0	5.95746	4.42238	0.0408778	80405.1	81112.4	430.459	5.07986	3.69182	0.0512528	100739	101158	1301.31	6.33586	4.67689	0.0411227	80870.5	81188.8	1020.28	5.09706	3.71458	0.0420124	82619.5	83324.6	496.504	5.20929	3.7914	0.0416395	0.213745	0	0.0453738	907211	885909	26864.7	203	0	842	820	114	7.44031	10.3895	0.0410711	0.219401	0	0.0459073	894834	874066	26189	203	0	843	819	108	7.76278	10.7891	0.0589594	0.282316	0	0.0578671	1.28448e+06	1.24279e+06	52243.3	203	1	836	831	137	10.6499	15.503	0.0589897	0.274568	0	0.0544904	1.28514e+06	1.25232e+06	41482.6	203	1	840	839	138	10.14	15.0503	0.0410723	0.221893	0	0.046357	894900	869308	32008.3	203	0	845	797	126	7.30006	9.89447	0.0391708	0.2142	0	0.0436798	853429	833066	25665.1	203	0	841	809	105	6.62485	9.22079	0.0396563	0.208962	0	0.0442615	863997	838440	31984.7	203	0	845	812	112	7.05191	9.71156	0.0440289	0.227279	0	0.0469159	959280	942902	20875.4	203	0	843	834	119	7.4938	10.5778	0.0447751	0.219358	0	0.0475969	975537	958846	21273.8	203	0	841	831	125	8.03126	11.3166	0.0408092	0.205049	0	0.0439968	889110	874169	19076.8	203	0	847	836	112	7.44935	10.4826	0.0400232	0.231615	0	0.045823	872041	852022	25202.5	203	0	839	801	110	7.1612	9.86402	0.105386	173507	185629	428.79	1.98671	0.427892	0.490195	0.105386	853	0.00656009	10	12380.8	328866	317.55	25.776	142.498	162.141	0.129692	0.082236	20	2.98432	0.149216
8	0	0.0565348	117298	117805	611.933	6.72704	5.02749	0.0437791	90832.6	91249.1	453.838	5.35918	3.9478	0.0562402	116687	116561	1567.43	6.86015	5.13929	0.0667554	138504	139571	0	7.98786	6.07234	0.0511546	106135	106963	0	6.14024	4.5986	0.0436641	90593.9	91011.4	449.965	5.20877	3.83203	0.0556814	115527	115407	1547.55	6.62209	4.95291	0.0439569	91201.5	91137.2	1192.39	5.2333	3.86519	0.0451119	93597.9	93989.7	522.052	5.3751	3.96455	0.0414814	0.208328	0	0.0442104	951249	962979	26667.8	203	0	841	823	109	7.24033	11.2882	0.040584	0.216299	0	0.0445144	930669	942012	26073.6	203	0	840	822	99	7.53385	11.7058	0.0581813	0.282316	0	0.0561374	1.33421e+06	1.33408e+06	52323.7	203	1	834	829	134	10.3493	16.5944	0.0589296	0.268714	0	0.0532358	1.35137e+06	1.35856e+06	42634.8	203	1	839	838	133	9.91603	16.1576	0.0402362	0.219248	0	0.0449893	922693	930866	31070.6	203	0	842	797	121	7.0105	10.6744	0.0390038	0.2142	0	0.0424751	894433	905093	24971.5	203	0	840	816	103	6.42371	10.0045	0.0393077	0.206856	0	0.0430703	901402	908195	31529.9	203	0	845	820	109	6.81825	10.5097	0.0440553	0.225051	0	0.0456404	1.01027e+06	1.02728e+06	21226.5	203	0	842	836	115	7.30521	11.4998	0.0449457	0.214025	0	0.0463425	1.03069e+06	1.04901e+06	21248.7	203	0	841	839	123	7.87263	12.3464	0.0402552	0.19845	0	0.0412722	923130	939392	19535.6	203	0	847	842	105	7.15164	11.206	0.0396782	0.224825	0	0.0445917	909898	921559	24705.3	203	0	838	812	106	6.91374	10.6571	0.074813	138882	138674	295.96	1.44897	0.462878	0.486658	0.074813	853	0.00380497	10	7216.82	328629	342.46	18.3213	141.514	174.044	0.126261	0.0909372	20	2.98226	0.149113
9	0	0.0533458	84040.9	84421.6	624.927	7.97514	1.77206	0.0409392	64495.6	64805.7	459.541	6.25704	1.37132	0.0528498	83259.5	83115.9	1514.11	8.10688	1.80618	0.063242	99631.4	100510	0	9.52073	2.16	0.0479478	75536.9	76209	0	7.19484	1.60861	0.0407587	64211.2	64523.1	452.516	6.07153	1.32834	0.0522407	82300	82158.6	1496.65	7.80721	1.73601	0.0409408	64498.1	64410.6	1144.85	6.09543	1.33931	0.042252	66563.8	66852.4	526.413	6.29057	1.37945	0.0403435	0.204505	0	0.0416377	702472	706619	26570.9	203	682	839	823	101	8.26591	3.83367	0.0394956	0.204054	0	0.0416442	687710	692310	25431.6	203	682	839	821	96	8.54387	3.94908	0.0580983	0.27246	0	0.0545216	1.01162e+06	1.00344e+06	51501.4	203	682	833	829	130	11.643	5.52394	0.0591842	0.268714	0	0.0518322	1.03053e+06	1.02894e+06	43066.2	203	682	838	836	131	11.2635	5.42729	0.0386853	0.204488	0	0.0420011	673599	673691	31355.2	203	682	839	801	108	7.90596	3.58211	0.0378146	0.204013	0	0.039741	658440	661402	25519	203	682	838	813	90	7.33104	3.38701	0.0382082	0.193614	0	0.0404218	665293	664246	31923.1	203	682	845	825	99	7.75591	3.55087	0.043052	0.211772	0	0.0428421	749635	758927	21136.2	203	682	841	834	106	8.36905	3.91976	0.044005	0.207224	0	0.0434928	766228	776551	21401.3	203	682	840	838	114	9.04925	4.2229	0.0393312	0.190826	0	0.0384984	684847	693705	19511.4	203	682	846	841	99	8.10966	3.79618	0.0387581	0.215356	0	0.0421401	674869	679289	24912.1	203	682	836	814	103	7.87223	3.60832	0.0643049	90642.1	90464.5	257.797	1.41729	0.434517	0.476976	0.0643049	853	0.00669147	10	12604	328805	221.149	13.0693	162.846	59.3024	0.123995	0.0757301	20	2.98201	0.1491
