year	fire	meanGCover0	meanGB0	pgrest0	grazedGBM0	PTranspirationL10	PTranspirationL20	meanGCover1	meanGB1	pgrest1	grazedGBM1	PTranspirationL11	PTranspirationL21	meanGCover2	meanGB2	pgrest2	grazedGBM2	PTranspirationL12	PTranspirationL22	meanGCover3	meanGB3	pgrest3	grazedGBM3	PTranspirationL13	PTranspirationL23	meanGCover4	meanGB4	pgrest4	grazedGBM4	PTranspirationL14	PTranspirationL24	meanGCover5	meanGB5	pgrest5	grazedGBM5	PTranspirationL15	PTranspirationL25	meanGCover6	meanGB6	pgrest6	grazedGBM6	PTranspirationL16	PTranspirationL26	meanGCover7	meanGB7	pgrest7	grazedGBM7	PTranspirationL17	PTranspirationL27	meanGCover8	meanGB8	pgrest8	grazedGBM8	PTranspirationL18	PTranspirationL28	meanSCover0	MaxSCover0	MinSCover0	SDSCover0	meanSB0	srest0	grazedSBM0	shrubCells0	estCells0	sc010	sc10	sc100	STranspirationL10	STranspirationL20	meanSCover1	MaxSCover1	MinSCover1	SDSCover1	meanSB1	srest1	grazedSBM1	shrubCells1	estCells1	sc011	sc11	sc101	STranspirationL11	STranspirationL21	meanSCover2	MaxSCover2	MinSCover2	SDSCover2	meanSB2	srest2	grazedSBM2	shrubCells2	estCells2	sc012	sc12	sc102	STranspirationL12	STranspirationL22	meanSCover3	MaxSCover3	MinSCover3	SDSCover3	meanSB3	srest3	grazedSBM3	shrubCells3	estCells3	sc013	sc13	sc103	STranspirationL13	STranspirationL23	meanSCover4	MaxSCover4	MinSCover4	SDSCover4	meanSB4	srest4	grazedSBM4	shrubCells4	estCells4	sc014	sc14	sc104	STranspirationL14	STranspirationL24	meanSCover5	MaxSCover5	MinSCover5	SDSCover5	meanSB5	srest5	grazedSBM5	shrubCells5	estCells5	sc015	sc15	sc105	STranspirationL15	STranspirationL25	meanSCover6	MaxSCover6	MinSCover6	SDSCover6	meanSB6	srest6	grazedSBM6	shrubCells6	estCells6	sc016	sc16	sc106	STranspirationL16	STranspirationL26	meanSCover7	MaxSCover7	MinSCover7	SDSCover7	meanSB7	srest7	grazedSBM7	shrubCells7	estCells7	sc017	sc17	sc107	STranspirationL17	STranspirationL27	meanSCover8	MaxSCover8	MinSCover8	SDSCover8	meanSB8	srest8	grazedSBM8	shrubCells8	estCells8	sc018	sc18	sc108	STranspirationL18	STranspirationL28	meanSCover9	MaxSCover9	MinSCover9	SDSCover9	meanSB9	srest9	grazedSBM9	shrubCells9	estCells9	sc019	sc19	sc109	STranspirationL19	STranspirationL29	meanSCover10	MaxSCover10	MinSCover10	SDSCover10	meanSB10	srest10	grazedSBM10	shrubCells10	estCells10	sc0110	sc110	sc1010	STranspirationL110	STranspirationL210	meanACover0	meanAB0	agrest0	grazedABM0	ATranspirationL10	meanGtotalcover	meanStotalcover	meanAtotalcover	scsum01	meanRCover	effSR	meanRB	BMGrazed	AnnualRain	Annualevaporation	AnnualtranspirationL1	AnnualtranspirationL2	ML1	ML2	Richness	ShannonDiv	Evenness
0	0	0.0361644	110824	107785	7640.34	5.32421	6.91365	0.0342291	104894	102077	7167.78	5.27349	6.77527	0.0364511	111703	108444	7928.49	5.47502	7.11951	0.0361525	110788	107934	7423.12	5.32414	6.91391	0.0340265	104273	101656	6912.66	5.13311	6.58728	0.034038	104308	101514	7120.14	5.1332	6.58709	0.0361925	110911	107681	7864.87	5.32443	6.91395	0.0345956	106017	102980	7464.87	5.1843	6.67464	0.0345979	106024	102992	7459.3	5.18431	6.67464	0.0313937	0.292406	0	0.0723047	1.06332e+06	1.06297e+06	457.541	168	0	168	168	125	4.78288	7.05073	0.0314114	0.299347	0	0.0722885	1.06392e+06	1.06358e+06	442.595	168	0	168	168	131	4.83252	7.09969	0.0330904	0.296099	0	0.0772072	1.12079e+06	1.12025e+06	684.843	168	0	165	165	127	4.92592	7.25654	0.0325229	0.296462	0	0.0749441	1.10156e+06	1.1012e+06	466.748	168	0	168	168	134	4.61784	6.79388	0.0327226	0.298397	0	0.0754582	1.10833e+06	1.10778e+06	709.191	168	0	168	168	132	4.81994	7.0732	0.0287379	0.296512	0	0.0681355	973365	973063	393.845	168	0	163	163	119	4.15482	6.1262	0.0328881	0.296173	0	0.0765133	1.11393e+06	1.11349e+06	576.285	168	0	166	166	131	4.90974	7.22512	0.0307901	0.298774	0	0.072372	1.04287e+06	1.04273e+06	203.569	168	0	166	166	123	4.39995	6.46562	0.0322467	0.293061	0	0.0744293	1.09221e+06	1.09205e+06	214.831	168	0	168	168	133	4.75601	6.99727	0.030373	0.296618	0	0.0711405	1.02875e+06	1.02859e+06	209.651	168	0	167	167	122	4.49976	6.62819	0.0337413	0.298804	0	0.0763306	1.14283e+06	1.14248e+06	450.187	168	0	168	168	143	4.9937	7.34873	0.255478	700492	669819	37761.2	8.87194	0.316447	0.349918	0.255478	168	0	30	0	109552	582.866	84.1159	107.931	137.225	0.128316	0.121072	20	2.9944	0.14972
1	0	0.0354457	42801.2	38939.9	9541.66	4.30789	3.90215	0.0328118	39620.7	36104	8811.99	4.09447	3.70413	0.0357849	43210.8	39161.7	9883.72	4.44764	4.02679	0.0355009	42867.9	39137.5	9313.27	4.31525	3.91159	0.0325948	39358.7	36000.2	8522.29	3.97522	3.59694	0.0325481	39302.3	35821.2	8737.95	3.96851	3.58854	0.035422	42772.6	38771.7	9783.76	4.30257	3.89497	0.033251	40151.1	36445.1	9166.69	4.0504	3.66453	0.0332534	40154	36448.7	9164.65	4.05075	3.6647	0.0297041	0.274859	0	0.0688624	396437	396170	340.799	168	0	166	166	122	4.27219	0.196144	0.0299518	0.285269	0	0.0691212	399743	400920	316.256	168	0	167	167	125	4.44991	0.203827	0.031572	0.292296	0	0.073942	421367	423795	505.54	168	0	164	164	124	4.50306	0.205948	0.0307492	0.292198	0	0.0713844	410386	412407	335.976	168	0	166	166	129	4.24379	0.194956	0.0313528	0.292449	0	0.0722828	418441	419643	513.693	168	0	168	168	129	4.45217	0.202927	0.0270093	0.281355	0	0.0644207	360472	361529	285.214	168	0	161	161	111	3.74883	0.171893	0.0312591	0.289088	0	0.0729252	417190	418308	388.69	168	0	165	165	128	4.47456	0.20527	0.0295205	0.288581	0	0.0693846	393986	395625	139.116	168	0	166	166	122	4.02085	0.183281	0.0306409	0.286311	0	0.0710248	408940	410441	155.768	168	0	167	167	126	4.38822	0.201396	0.0285102	0.29461	0	0.0675115	380502	381205	142.795	168	0	164	164	118	4.13191	0.189455	0.0321132	0.291822	0	0.0729176	428590	429882	321.577	168	0	167	167	139	4.59069	0.211072	0.130488	140980	127802	23308.9	1.91305	0.306613	0.332383	0.130488	168	0	30	0	109680	131.785	64.8429	86.7023	36.1259	0.0933555	0.0750253	20	2.99471	0.149736
2	0	0.0302984	30224.8	23160.6	11464.8	2.10533	0.621329	0.0277601	27692.6	21320.5	10406.9	1.9743	0.573709	0.030584	30509.7	23229.6	11787.7	2.17057	0.640366	0.0290166	28946.1	22357.5	10876.7	2.11633	0.626106	0.0275861	27519.1	21326.4	10137.6	1.9207	0.558336	0.0276005	27533.4	21213.5	10319.7	1.91067	0.554031	0.0303421	30268.3	23061.3	11667.1	2.09589	0.617131	0.0280467	27978.5	21389.1	10740.8	1.95133	0.567596	0.0280392	27971.1	21366.3	10761.7	1.95153	0.567756	0.0277232	0.26514	0	0.0645221	305670	305357	399.329	168	0	165	165	119	2.42926	0.119365	0.0285886	0.274924	0	0.0659562	315212	314893	407.092	168	41	197	166	122	2.56285	0.133918	0.0305043	0.283852	0	0.070894	336333	335807	665.345	168	58	209	164	121	2.60757	0.145851	0.0291853	0.291754	0	0.0682045	321790	321464	415.886	168	58	206	162	123	2.43195	0.133616	0.0300938	0.276745	0	0.0690612	331807	331327	607.538	168	41	200	168	126	2.57755	0.134777	0.025945	0.2771	0	0.0616535	286064	285775	369.115	168	41	189	161	110	2.13049	0.11082	0.0298144	0.279711	0	0.0696188	328727	328360	466.546	168	41	192	163	124	2.5698	0.134142	0.0279181	0.279201	0	0.0656945	307819	307680	182.181	168	41	197	164	119	2.33294	0.123085	0.0292783	0.273043	0	0.0679332	322816	322657	206.611	168	41	199	166	122	2.52274	0.13305	0.0269061	0.283553	0	0.0640158	296660	296528	173.304	168	21	179	162	115	2.34059	0.118687	0.0308809	0.289633	0	0.0699659	340486	340144	435.97	168	41	198	166	137	2.64255	0.138389	0.0158693	14164.3	11236.4	7082.45	0.127273	0.259274	0.316838	0.0158693	216	0.138321	30	255402	109574	80.7861	44.8559	45.4722	6.75206	0.0794112	0.0750046	20	2.98625	0.149312
3	0	0.0274707	35108.8	30249.7	8180.55	3.12483	2.6326	0.0242196	30953.8	26766	7147.38	2.83384	2.35109	0.0276829	35380	30332.5	8429.94	3.21747	2.70119	0.026078	33328.9	28867.3	7601.81	3.00329	2.53066	0.0241534	30869.1	26826	6959.34	2.76324	2.30039	0.0242061	30936.6	26770	7114.07	2.74201	2.26966	0.0275767	35244.3	30234.5	8370.26	3.10384	2.59974	0.0244681	31271.4	26898.4	7395.74	2.79308	2.31382	0.0244361	31230.5	26872.7	7374.08	2.78896	2.30744	0.0262365	0.259057	0	0.0614383	370611	370309	387.578	168	0	163	163	117	3.15208	0.705236	0.0270387	0.26851	0	0.0628268	381943	381617	417.634	168	0	195	164	115	3.39866	0.809719	0.0291484	0.280984	0	0.0678076	411744	411147	756.185	168	0	208	167	118	3.49533	0.905819	0.0278594	0.281557	0	0.0652408	393535	393170	466.551	168	0	205	161	120	3.21126	0.813076	0.0286444	0.27154	0	0.0659744	404625	404080	691.702	168	0	199	168	122	3.43165	0.820336	0.0243482	0.271283	0	0.0581012	343938	343635	389.48	168	0	187	159	105	2.83735	0.675488	0.0285112	0.267164	0	0.0664933	402742	402300	562.82	168	0	192	163	123	3.40947	0.808964	0.0264886	0.277005	0	0.0627042	374172	374007	216.73	168	0	195	162	111	3.05872	0.739636	0.0277152	0.268233	0	0.0647783	391499	391336	215.206	168	0	197	164	118	3.34208	0.806727	0.0253593	0.281429	0	0.0608606	358220	358061	210.51	168	0	177	160	111	3.05893	0.713078	0.0292249	0.288751	0	0.0668815	412824	412442	488.243	168	0	195	163	132	3.52974	0.840799	0.179176	204891	174685	36140.9	4.41117	0.230292	0.300575	0.179176	216	0.0574471	30	107423	109517	148.918	69.0691	66.707	30.6455	0.106883	0.0800902	20	2.98868	0.149434
4	0	0.0367375	95749.4	91982.6	8379.16	6.07654	9.0257	0.0295832	77102.9	74155.5	6702.17	5.09773	7.4635	0.0372253	97020.7	93022.3	8709.52	6.27654	9.32902	0.0349705	91143.8	87745.4	7746.27	5.77929	8.55421	0.0294152	76665.2	73884.8	6479.49	4.96798	7.27019	0.0293103	76391.8	73480.4	6634.84	4.94165	7.22767	0.0366362	95485.3	91545.9	8586.01	6.05104	8.98415	0.0302158	78751.8	75583.3	7033.33	5.06334	7.42861	0.0301738	78642.2	75485.1	7015.08	5.05378	7.41012	0.0251449	0.256399	0	0.0588987	724337	774526	459.423	168	0	163	163	113	4.28944	4.34865	0.0269072	0.268238	0	0.0623413	775104	828160	463.575	168	0	195	166	115	4.65075	4.80896	0.0289095	0.280128	0	0.0670875	832785	889873	776.482	168	0	207	179	116	4.85881	5.20208	0.0276067	0.281223	0	0.0645902	795253	848810	513.657	168	0	204	169	118	4.4462	4.71726	0.0283413	0.270263	0	0.065331	816415	872704	753.269	168	0	198	169	121	4.72432	4.88154	0.0235409	0.271029	0	0.0566953	678133	725664	446.282	168	0	184	158	102	3.84619	3.97487	0.0283846	0.265186	0	0.066011	817662	873838	584.153	168	0	192	164	123	4.71584	4.87505	0.0262949	0.276846	0	0.0622287	757467	810715	223.015	168	0	194	169	111	4.20129	4.36449	0.0276242	0.268167	0	0.0643882	795760	850128	233.359	168	0	197	166	118	4.58413	4.76279	0.0251943	0.280611	0	0.0603564	725762	776313	203.582	168	0	177	162	111	4.16682	4.25945	0.0284346	0.288751	0	0.0657189	819104	875018	507.717	168	0	192	164	128	4.82487	4.99514	0.244523	570218	540747	37183.2	10.0725	0.294268	0.296383	0.244523	216	0.0275265	30	52114.3	109634	471.573	85.8712	108.689	123.884	0.125832	0.118456	20	2.99132	0.149566
5	0	0.0436843	78206.7	73705.7	9876.98	6.5325	9.01768	0.0335183	60006.8	56623.6	7572.26	5.17752	7.01504	0.044423	79529.1	74754.2	10322.4	6.78494	9.35973	0.0416552	74574.1	70451.9	9167.01	6.22176	8.60198	0.033252	59530.1	56309.2	7317.6	5.02606	6.81377	0.0330468	59162.8	55837.3	7461.03	4.99042	6.73988	0.0434263	77744.8	73108.1	10061.7	6.48981	8.92626	0.0344432	61662.7	58038.2	7985.23	5.18783	7.03779	0.0344029	61590.4	57979.5	7962.32	5.1792	7.02312	0.0262233	0.252947	0	0.0553533	518886	545503	444.684	168	732	700	161	110	4.55221	4.48498	0.0282643	0.260972	0	0.0585833	559271	587807	476.226	168	732	719	181	115	5.0992	5.17389	0.0305359	0.26678	0	0.063473	604220	634423	748.575	168	732	720	205	113	5.30405	5.6098	0.0288867	0.269669	0	0.0607961	571586	599928	458.023	168	732	699	195	112	4.82406	4.96757	0.0295023	0.253775	0	0.060882	583767	613419	763.923	168	732	714	190	117	5.15657	5.23597	0.0245606	0.266961	0	0.0532805	485985	511198	378.685	168	732	671	169	96	4.1064	4.15606	0.0297382	0.260986	0	0.0618733	588435	618212	560.214	168	732	724	192	120	5.17929	5.27322	0.0275303	0.264288	0	0.0584086	544748	573105	213.796	168	732	698	186	105	4.5968	4.69612	0.0289445	0.259591	0	0.0604297	572731	601809	223.66	168	732	729	190	115	5.0252	5.10667	0.0263807	0.274124	0	0.0568926	522001	548896	213.644	168	732	703	169	103	4.57308	4.58072	0.0297287	0.287015	0	0.0620948	588247	618068	494.684	168	732	707	177	124	5.16904	5.2186	0.183796	294408	275811	26851.4	5.75434	0.341852	0.310295	0.183796	792	0.039286	30	72746.6	109554	273.345	69.9714	110.931	125.045	0.125723	0.100089	20	2.98632	0.149316
6	0	0.0511697	161118	156407	10935.8	6.97576	10.5844	0.0375251	118155	114794	7973.49	5.27316	7.92459	0.0521732	164278	159239	11452.7	7.2678	11.039	0.0489294	154064	149773	10176.4	6.66174	10.0899	0.0371679	117031	113872	7674.3	5.10791	7.66779	0.0368147	115919	112642	7801.52	5.05764	7.59404	0.050677	159567	154696	11106	6.90797	10.486	0.0387422	121988	118339	8457.79	5.31296	7.99975	0.0387249	121933	118287	8453.07	5.30653	7.99037	0.0282727	0.252947	0	0.0532953	983931	1.02073e+06	529.489	168	732	700	307	107	4.50778	11.7161	0.0307501	0.260972	0	0.0568579	1.07015e+06	1.11009e+06	605.862	168	732	723	358	114	5.08577	13.2562	0.0332828	0.26678	0	0.061689	1.15829e+06	1.2002e+06	968.413	168	732	723	381	111	5.30482	13.9093	0.0314908	0.269445	0	0.0592979	1.09593e+06	1.13579e+06	560.921	168	732	706	373	111	4.77913	12.4521	0.0321748	0.253367	0	0.0589957	1.11973e+06	1.16136e+06	945.519	168	732	716	394	116	5.09662	13.2825	0.0269769	0.266961	0	0.0520493	938838	974333	544.06	168	732	674	315	96	4.06975	10.5716	0.0325505	0.260499	0	0.0601539	1.13281e+06	1.17446e+06	761.742	168	732	727	382	119	5.16968	13.5489	0.0301689	0.264288	0	0.0569817	1.04992e+06	1.08978e+06	289.444	168	732	702	340	105	4.55901	11.8522	0.0313982	0.259442	0	0.0588623	1.09271e+06	1.13327e+06	292.862	168	732	729	348	113	4.98881	13.0258	0.0289723	0.270078	0	0.055536	1.00828e+06	1.04609e+06	272.979	168	732	707	321	102	4.54462	11.8197	0.0325359	0.286567	0	0.0605752	1.1323e+06	1.17477e+06	635.188	168	732	710	370	122	5.12454	13.2968	0.140165	394881	380406	19164.2	3.8668	0.391924	0.338574	0.140165	797	0.113471	30	209538	109602	603.33	57.5333	110.969	220.077	0.134389	0.124885	20	2.97915	0.148958
7	0	0.0504533	76584.3	71798.7	11598.7	9.13442	1.7933	0.0360393	54705	51320.4	8334.27	6.67651	1.27992	0.0515222	78206.8	73131.6	12159.6	9.54398	1.87104	0.0483546	73398.7	68987.2	10806.4	8.74186	1.7305	0.0356923	54178.2	50955	8030.19	6.45611	1.23982	0.0352522	53510.1	50196.2	8171.21	6.38011	1.21755	0.0498418	75656.1	70757.6	11768.6	9.02566	1.76134	0.0373178	56645.6	53003.7	8856.6	6.75426	1.2951	0.037304	56624.6	52986.4	8849.7	6.7505	1.29301	0.0288267	0.242932	0	0.0502675	483627	499439	518.961	168	732	703	442	103	6.12676	1.58062	0.0313463	0.260658	0	0.0537873	525899	542992	598.293	168	732	723	488	110	6.95536	1.84205	0.0343799	0.258159	0	0.0584575	576794	594849	1013.88	168	732	724	532	109	7.2635	1.9555	0.0322267	0.256835	0	0.0560274	540669	557781	607.36	168	732	706	507	110	6.54425	1.71287	0.0326156	0.244954	0	0.055498	547194	564751	940.302	168	732	715	521	106	6.98887	1.82891	0.0273677	0.255131	0	0.0490199	459149	474298	517.73	168	732	673	434	93	5.6109	1.46498	0.0332123	0.258464	0	0.0566375	557205	574922	774.51	168	732	728	534	116	7.11142	1.87372	0.0308812	0.259269	0	0.0541471	518096	535481	274.404	168	732	702	484	102	6.27034	1.65166	0.0320336	0.254869	0	0.0557301	537429	555073	292.825	168	732	730	477	109	6.80663	1.80129	0.0295958	0.255736	0	0.0524961	496531	512891	264.621	168	732	707	457	97	6.27633	1.63643	0.0331398	0.269705	0	0.0572105	555989	574204	655.731	168	732	711	501	118	7.04167	1.83611	0.11635	158020	148510	14493.1	2.97162	0.381778	0.345626	0.11635	798	0.0897807	30	167267	109527	207.188	56.961	145.431	32.6442	0.119323	0.0750984	20	2.98298	0.149149
8	0	0.052276	86929.2	80737.6	11731.7	8.47097	3.07566	0.0363427	60434	56150.7	8193.41	6.05425	2.15589	0.0534247	88839.5	82278.5	12316.9	8.85099	3.21855	0.0499173	83006.9	77304.2	10909.2	8.13082	2.95493	0.0359979	59860.6	55774	7891.31	5.86153	2.08385	0.0355955	59191.4	54995.9	8024.36	5.77092	2.04944	0.0517184	86002.1	79659.2	11915.1	8.34262	3.02504	0.037706	62700.9	58090.5	8731.71	6.13181	2.19023	0.0376998	62690.6	58090.4	8715.71	6.12922	2.189	0.0294443	0.226991	0	0.047522	541166	555485	601.788	168	732	702	551	97	6.16055	3.22451	0.0322664	0.241847	0	0.0502806	593034	608321	662.597	168	732	722	596	103	6.99426	3.70912	0.0361151	0.252048	0	0.0563544	663771	680299	1200.85	168	732	722	639	109	7.42292	4.00649	0.0338143	0.252842	0	0.0539178	621484	637321	737.939	168	732	706	601	110	6.63014	3.52497	0.0337826	0.244903	0	0.0521859	620901	636707	1062.48	168	732	715	622	103	6.99399	3.70759	0.0283605	0.243563	0	0.0462129	521246	534909	589.373	168	732	673	561	87	5.61856	2.95739	0.0344426	0.249941	0	0.0533798	633031	649153	890.715	168	732	727	651	110	7.16889	3.83837	0.0318306	0.251565	0	0.0511921	585025	600773	324.392	168	732	700	592	98	6.32265	3.32688	0.0330827	0.249631	0	0.0526568	608036	624080	321.959	168	732	728	613	109	6.84997	3.63814	0.0305883	0.25033	0	0.0493295	562193	577089	299.228	168	732	707	586	92	6.32161	3.33506	0.034469	0.268691	0	0.0543733	633516	650149	718.744	168	732	712	613	116	7.08642	3.70902	0.110203	163966	153744	13728.9	3.33712	0.390678	0.358196	0.110203	798	0.162263	30	303927	109568	242.402	57.0725	140.65	61.9201	0.116846	0.0791762	20	2.98258	0.149129
9	0	0.045976	54025.7	47715.4	12350.4	5.04372	0.514652	0.0316011	37134	32851.8	8452.54	3.54193	0.355224	0.046915	55129.1	48489.1	12909.7	5.26981	0.538267	0.0440333	51742.9	45877.2	11550.3	4.82535	0.493075	0.0313649	36856.4	32742.4	8174.84	3.43195	0.343785	0.0309255	36340.2	32158.7	8257.26	3.38341	0.338293	0.0453558	53296.9	46896.9	12456.4	4.97529	0.506543	0.0327682	38505.4	33915.1	8992.72	3.58934	0.360931	0.0327572	38492.5	33907.4	8983.28	3.58946	0.360918	0.0292639	0.217075	0	0.0451107	380073	379503	712.608	168	732	702	593	91	4.06556	0.545038	0.0318558	0.2393	0	0.047442	413737	413206	742.838	168	732	721	625	97	4.66086	0.638791	0.0362042	0.249909	0	0.0535638	470212	469463	1306.47	168	732	722	663	106	5.0212	0.694824	0.0335742	0.247653	0	0.0510114	436055	435693	788.543	168	732	705	627	104	4.49125	0.611819	0.0335216	0.243289	0	0.0494248	435371	434509	1152.9	168	732	714	661	97	4.68963	0.639835	0.0281988	0.227351	0	0.0438911	366240	365755	682.863	168	732	673	580	85	3.76701	0.510265	0.034238	0.235631	0	0.0506138	444676	443940	972.483	168	732	726	675	106	4.8001	0.66788	0.0314133	0.242187	0	0.0485168	407989	407769	382.399	168	732	699	620	95	4.22659	0.570921	0.0329331	0.245151	0	0.0500739	427728	427511	366.197	168	732	728	647	104	4.58645	0.628105	0.030309	0.237686	0	0.0468098	393646	393430	327.541	168	732	707	618	89	4.24172	0.576876	0.0345754	0.266435	0	0.052177	449058	448483	810.413	168	732	712	641	113	4.76392	0.641482	0.0586566	61671.1	55630.1	9184.42	1.11136	0.341697	0.356087	0.0586566	798	0.0867056	30	162902	109557	123.907	35.6526	88.076	10.5375	0.0873813	0.0750016	20	2.98686	0.149343
