year	fire	meanGCover0	meanGB0	pgrest0	grazedGBM0	PTranspirationL10	PTranspirationL20	meanGCover1	meanGB1	pgrest1	grazedGBM1	PTranspirationL11	PTranspirationL21	meanGCover2	meanGB2	pgrest2	grazedGBM2	PTranspirationL12	PTranspirationL22	meanGCover3	meanGB3	pgrest3	grazedGBM3	PTranspirationL13	PTranspirationL23	meanGCover4	meanGB4	pgrest4	grazedGBM4	PTranspirationL14	PTranspirationL24	meanGCover5	meanGB5	pgrest5	grazedGBM5	PTranspirationL15	PTranspirationL25	meanGCover6	meanGB6	pgrest6	grazedGBM6	PTranspirationL16	PTranspirationL26	meanGCover7	meanGB7	pgrest7	grazedGBM7	PTranspirationL17	PTranspirationL27	meanGCover8	meanGB8	pgrest8	grazedGBM8	PTranspirationL18	PTranspirationL28	meanSCover0	MaxSCover0	MinSCover0	SDSCover0	meanSB0	srest0	grazedSBM0	shrubCells0	estCells0	sc010	sc10	sc100	STranspirationL10	STranspirationL20	meanSCover1	MaxSCover1	MinSCover1	SDSCover1	meanSB1	srest1	grazedSBM1	shrubCells1	estCells1	sc011	sc11	sc101	STranspirationL11	STranspirationL21	meanSCover2	MaxSCover2	MinSCover2	SDSCover2	meanSB2	srest2	grazedSBM2	shrubCells2	estCells2	sc012	sc12	sc102	STranspirationL12	STranspirationL22	meanSCover3	MaxSCover3	MinSCover3	SDSCover3	meanSB3	srest3	grazedSBM3	shrubCells3	estCells3	sc013	sc13	sc103	STranspirationL13	STranspirationL23	meanSCover4	MaxSCover4	MinSCover4	SDSCover4	meanSB4	srest4	grazedSBM4	shrubCells4	estCells4	sc014	sc14	sc104	STranspirationL14	STranspirationL24	meanSCover5	MaxSCover5	MinSCover5	SDSCover5	meanSB5	srest5	grazedSBM5	shrubCells5	estCells5	sc015	sc15	sc105	STranspirationL15	STranspirationL25	meanSCover6	MaxSCover6	MinSCover6	SDSCover6	meanSB6	srest6	grazedSBM6	shrubCells6	estCells6	sc016	sc16	sc106	STranspirationL16	STranspirationL26	meanSCover7	MaxSCover7	MinSCover7	SDSCover7	meanSB7	srest7	grazedSBM7	shrubCells7	estCells7	sc017	sc17	sc107	STranspirationL17	STranspirationL27	meanSCover8	MaxSCover8	MinSCover8	SDSCover8	meanSB8	srest8	grazedSBM8	shrubCells8	estCells8	sc018	sc18	sc108	STranspirationL18	STranspirationL28	meanSCover9	MaxSCover9	MinSCover9	SDSCover9	meanSB9	srest9	grazedSBM9	shrubCells9	estCells9	sc019	sc19	sc109	STranspirationL19	STranspirationL29	meanSCover10	MaxSCover10	MinSCover10	SDSCover10	meanSB10	srest10	grazedSBM10	shrubCells10	estCells10	sc0110	sc110	sc1010	STranspirationL110	STranspirationL210	meanACover0	meanAB0	agrest0	grazedABM0	ATranspirationL10	meanGtotalcover	meanStotalcover	meanAtotalcover	scsum01	meanRCover	effSR	meanRB	BMGrazed	AnnualRain	Annualevaporation	AnnualtranspirationL1	AnnualtranspirationL2	ML1	ML2	Richness	ShannonDiv	Evenness
0	0	0.0392216	77254.5	77366.8	2504.12	5.57365	8.00461	0.0364637	71822.3	71967.9	2280.77	5.45109	7.71871	0.0396664	78130.6	75189	6156.18	5.76415	8.29586	0.0392339	77278.8	79466.8	0	5.57368	8.00504	0.0361636	71231.2	73250.3	0	5.27912	7.46266	0.0361453	71195.2	71344	2255.72	5.27903	7.46243	0.0392304	77271.8	74378.6	6069.61	5.57368	8.0048	0.0370649	73006.3	70351.3	5642.86	5.36643	7.6232	0.0370446	72966.5	72881.8	2595.01	5.36638	7.62229	0.0324589	0.28753	0	0.0738181	706640	703248	4234.95	169	0	169	169	136	4.67221	3.20558	0.0322091	0.290566	0	0.0736263	701201	697798	4249.63	169	0	168	168	137	4.9263	3.38399	0.0318125	0.29891	0	0.073274	692566	688337	5278.25	169	0	169	169	131	4.43048	3.03732	0.0341519	0.295021	0	0.0777225	743496	739855	4546.79	169	0	169	169	138	4.49047	3.07681	0.0305867	0.295433	0	0.0703143	665880	661829	5057.37	169	0	169	169	130	4.41664	3.03479	0.0330368	0.292361	0	0.0755642	719219	715793	4278.27	169	0	168	168	136	4.52265	3.10823	0.0311189	0.289787	0	0.0714766	677467	673397	5079.69	169	0	169	169	130	4.47998	3.08341	0.0308907	0.287129	0	0.0709217	672499	670133	2955.64	169	0	168	168	128	4.2211	2.90753	0.0309033	0.282672	0	0.0705963	672773	670356	3018.51	169	0	168	168	135	4.51712	3.10759	0.0313434	0.289123	0	0.0713321	682354	680079	2841.48	169	0	169	169	132	4.55097	3.12824	0.0317931	0.294837	0	0.0728017	692145	688844	4121.17	169	0	169	169	139	4.56159	3.12526	0.245541	432731	425528	8969.05	7.69205	0.340234	0.350305	0.245541	169	0	40	0	82135.1	316.929	84.2868	106.719	104.409	0.127458	0.111257	11	2.99151	0.271956
1	0	0.0519723	110865	111476	2771.81	10.3027	12.7429	0.0454914	97040.5	97621.9	2389.04	9.43592	11.4653	0.0508159	108399	103928	9679.52	10.2754	12.6949	0.0535342	114197	116859	0	10.6295	13.18	0.0460541	98240.7	100538	0	9.351	11.3684	0.0447788	95520.4	96097.6	2348.17	9.06775	10.995	0.0497664	106160	101809	9455.92	9.83788	12.1211	0.044895	95768.2	91963.8	8425.72	9.00585	10.9416	0.046673	99561.1	99944.4	2743.69	9.38784	11.4481	0.0309641	0.279373	0	0.0704602	730042	737234	3465.05	169	0	169	169	133	6.03863	3.21567	0.0306051	0.284543	0	0.0700016	721578	728549	3500.14	169	0	168	168	131	6.32786	3.36965	0.0312463	0.297201	0	0.0722961	736695	743245	4540.98	169	0	168	168	130	5.91769	3.15165	0.0336381	0.293819	0	0.0768089	793087	800859	3811.16	169	0	168	168	135	6.00403	3.19465	0.0290416	0.289532	0	0.0667484	684715	690787	4075	169	0	169	169	126	5.67906	3.02736	0.0308098	0.29072	0	0.0714058	726405	733553	3539.05	169	0	165	165	132	5.80549	3.09704	0.0296258	0.288228	0	0.0681052	698489	704601	4230.6	169	0	169	169	128	5.78248	3.08835	0.0290732	0.280745	0	0.0672992	685460	692802	2338.06	169	0	166	166	122	5.4414	2.91052	0.0290639	0.275875	0	0.0667759	685240	692655	2409.34	169	0	166	166	131	5.78266	3.08632	0.0294179	0.276493	0	0.0674515	693588	701153	2443.52	169	0	167	167	129	5.84286	3.11631	0.0304735	0.284869	0	0.0698457	718474	725373	3654.09	169	0	169	169	134	5.91872	3.1466	0.242437	462720	458024	6393.17	11.2098	0.433981	0.333959	0.242437	169	0	40	0	82214	356.638	82.3027	163.045	141.363	0.134527	0.107163	20	2.96876	0.148438
2	0	0.0511202	61550.9	61527.5	2606.68	5.9021	3.15706	0.0439593	52928.9	52941.1	2203.74	5.20935	2.75582	0.0476964	57428.5	55656.6	5486.66	5.63203	2.98216	0.0536273	64569.5	66075.9	0	6.20417	3.33842	0.0452171	54443.2	55715.2	0	5.23056	2.78182	0.043188	52000.2	52015.1	2161.99	4.98471	2.63379	0.0465833	56088.3	54370.2	5344	5.35909	2.83248	0.0415182	49989.6	48512.8	4695.34	4.77092	2.49817	0.0451867	54406.6	54265.2	2534.81	5.21454	2.7636	0.0299372	0.271782	0	0.0673353	398399	399396	5083.12	169	731	341	168	126	3.98232	0.433219	0.0292099	0.267803	0	0.0661079	388720	389356	5294.62	169	731	346	167	128	4.15565	0.454196	0.0308369	0.297201	0	0.0708598	410371	410206	6731.78	169	731	350	166	128	4.02354	0.44551	0.0334931	0.289824	0	0.0756574	445720	446727	5747.62	169	731	359	167	133	4.09148	0.451713	0.0277972	0.267731	0	0.0631959	369920	369809	5961.41	169	731	331	168	122	3.72552	0.400789	0.0292193	0.283494	0	0.0672091	388846	389665	5101.89	169	731	337	163	126	3.73377	0.410271	0.0284905	0.27748	0	0.0645813	379146	379221	5792.98	169	731	326	169	126	3.80441	0.412511	0.0278906	0.277924	0	0.0640132	371163	373147	3385.14	169	731	325	165	117	3.52516	0.3804	0.0280809	0.271812	0	0.0636597	373696	375615	3540.85	169	731	334	166	128	3.7412	0.407468	0.0283618	0.266759	0	0.0641454	377434	374547	3543.82	169	731	336	167	125	3.78538	0.413145	0.0294864	0.273189	0	0.0666533	392400	393424	4970.37	169	731	332	169	124	3.91531	0.422626	0.0688755	74199.6	73215.7	2016.67	0.803497	0.418097	0.322804	0.0688755	454	0.00552897	40	10255.8	82203.5	130.941	47.0711	91.7951	30.3777	0.0945863	0.0753348	19	2.96711	0.156164
3	0	0.0619054	105031	105758	1823.5	9.7192	7.47013	0.051016	86555.8	87186.4	1476.64	8.30498	6.275	0.0560745	95138.3	93259.7	5238.62	8.97315	6.85715	0.0666828	113137	115287	0	10.4997	8.11184	0.0535729	90893.9	92628	0	8.53807	6.47636	0.049864	84601.3	85221.1	1440.75	7.91881	5.97198	0.0544098	92313.9	90509.2	5064.42	8.49444	6.47398	0.0469186	79604	78110.1	4308.64	7.38194	5.54858	0.0527488	89495.8	90017.9	1709.03	8.34707	6.32782	0.0286693	0.266235	0	0.0636178	537616	538467	5595.29	169	726	356	168	122	4.71342	2.21898	0.0279159	0.257493	0	0.062513	523489	524236	5522.4	169	726	359	166	123	4.85773	2.28927	0.0308235	0.292763	0	0.069649	578013	577860	7342.54	169	731	361	168	127	4.85843	2.29751	0.0335618	0.287728	0	0.074482	629362	630099	6780.13	169	731	374	169	133	4.99824	2.36482	0.0266912	0.263685	0	0.0596911	500522	500392	6322.08	169	726	349	168	118	4.35563	2.02453	0.0282292	0.271496	0	0.0638569	529364	530305	5420.73	169	726	347	163	121	4.35375	2.05503	0.0270505	0.266701	0	0.0606513	507260	507028	6442.16	169	726	339	168	122	4.47394	2.10379	0.0263579	0.261225	0	0.0602397	494272	496124	3763.8	169	726	330	161	113	4.14988	1.95186	0.0270325	0.262094	0	0.060358	506922	508840	3923.94	169	726	348	165	124	4.45358	2.10647	0.0266942	0.258518	0	0.0607756	500579	498441	2649.74	169	0	290	165	119	4.36928	1.86178	0.0286222	0.264451	0	0.0635692	536733	537772	5370.96	169	726	352	170	121	4.64917	2.17151	0.151298	229677	228167	1962.61	4.13915	0.493193	0.311648	0.151298	468	0.007978	40	14877.1	82158	250.601	61.0812	132.55	82.9584	0.12489	0.0853148	20	2.93727	0.146863
4	0	0.0753426	163507	164584	1686.09	11.2296	14.6947	0.0595693	129276	130156	1311.52	9.2177	11.9204	0.0664823	144279	141802	6351.61	10.1165	13.1587	0.0823188	178647	181102	0	12.3016	16.1725	0.063154	137056	138948	0	9.5605	12.4158	0.0579354	125730	126590	1272.53	8.74537	11.2938	0.0641487	139214	136847	6104.95	9.51853	12.3568	0.053572	116261	114355	5030.02	8.0159	10.3024	0.0620285	134613	135414	1528.25	9.32735	12.0881	0.0285802	0.256943	0	0.0619094	685531	685891	5368.26	169	726	356	182	121	4.70834	4.787	0.0270718	0.253565	0	0.0596857	649350	649309	5495.21	169	726	357	172	120	4.83676	4.93372	0.0305448	0.291617	0	0.0680466	732654	731707	7412.28	169	731	361	179	125	5.04093	5.11387	0.0338398	0.285408	0	0.0734578	811689	811852	6611.26	169	731	375	186	132	5.19813	5.27667	0.0262508	0.255818	0	0.0576018	629659	629307	5805.46	169	726	348	173	114	4.3549	4.35908	0.0274965	0.269225	0	0.0613354	659538	659554	5489.46	169	726	346	176	118	4.37751	4.48184	0.0268251	0.25901	0	0.0589315	643435	642577	6333.92	169	726	339	183	119	4.42811	4.48015	0.025863	0.257214	0	0.0581945	620355	621376	3968.18	169	726	328	169	110	4.08546	4.15798	0.0267748	0.256926	0	0.0584941	642228	643323	4033.25	169	726	347	173	119	4.4625	4.58356	0.0254615	0.246241	0	0.0579243	610725	613263	2256.42	169	0	289	164	116	4.25763	3.82286	0.0281569	0.262483	0	0.0615572	675378	675967	4924.12	169	726	350	181	119	4.69062	4.72427	0.126725	246068	245137	1272.78	3.42889	0.584551	0.306865	0.126725	469	0.00447848	40	8452.36	82255.6	365.632	41.7295	141.904	165.124	0.130479	0.0979729	20	2.90283	0.145141
5	0	0.0741764	108072	108505	1918.17	12.9823	2.70535	0.0576473	83990.1	84349.9	1465.58	10.3383	2.13902	0.0639744	93208.4	91281	5571.82	11.4267	2.36309	0.0817065	119043	120740	0	14.3394	3.00251	0.0614649	89552.1	90832.7	0	10.7756	2.24047	0.0559511	81518.8	81871.3	1418.83	9.77085	2.0196	0.0615572	89686.7	87846.5	5343.49	10.7079	2.2115	0.0507719	73972.9	72508.2	4341.64	8.80933	1.80782	0.0601993	87708.2	87976.4	1712.85	10.5175	2.17849	0.0274378	0.253348	0	0.0589856	441838	440340	5453.35	169	731	355	198	117	4.85074	0.94396	0.0260736	0.247892	0	0.0568392	419871	418277	5361.09	169	731	357	188	113	4.85408	0.948011	0.0303615	0.289886	0	0.0672263	488921	485689	7952.83	169	731	360	202	123	5.17468	1.00497	0.0334445	0.284786	0	0.0722954	538567	536583	6793.31	169	731	373	214	130	5.41761	1.04921	0.0248645	0.249697	0	0.0543243	400401	398187	5984.07	169	731	346	173	106	4.425	0.848687	0.0265201	0.254956	0	0.0584974	427061	425313	5565.54	169	731	346	196	116	4.41446	0.86228	0.0255937	0.250379	0	0.0558888	412143	409408	6609.99	169	731	338	195	114	4.53965	0.874693	0.02486	0.246523	0	0.0553026	400328	399772	3944.54	169	731	328	180	103	4.14378	0.805205	0.0258649	0.240896	0	0.0558721	416510	415920	4085.14	169	731	347	187	114	4.56891	0.892703	0.024445	0.237322	0	0.0552382	393644	394412	2371.59	169	731	290	164	114	4.23308	0.733462	0.0270434	0.256421	0	0.0587644	435488	434049	5317.43	169	731	349	199	114	4.77607	0.916529	0.0920612	120011	119364	978.549	2.10893	0.567449	0.296509	0.0920612	469	0.00675627	40	12700.1	82189.8	192.38	31.9664	153.175	30.5476	0.110114	0.0754066	20	2.89997	0.144999
6	0	0.0729836	118960	119556	1810.27	13.8169	5.38034	0.0557452	90862.5	91340.2	1358.7	10.8265	4.17235	0.061432	100132	98310.1	5117.04	11.8664	4.57964	0.0812195	132385	134331	0	15.4352	6.04413	0.0599387	97697.6	99138.1	0	11.3862	4.41156	0.0540403	88083.6	88549	1314.75	10.2133	3.93043	0.0590302	96216.8	94479.8	4899.08	11.091	4.27203	0.048	78238	76878.5	3921.59	9.01724	3.44203	0.0583435	95097.5	95485.7	1594.78	11.0398	4.26179	0.0261464	0.247453	0	0.0558669	471036	469310	5811.07	169	731	354	218	112	5.08318	1.73815	0.0249657	0.241814	0	0.0539058	449766	448059	5595.74	169	731	357	203	108	5.10826	1.75185	0.030087	0.288549	0	0.0663542	542028	538985	8005.14	169	731	359	222	122	5.60048	1.90163	0.0332959	0.283827	0	0.0713734	599837	597803	7165.6	169	731	373	246	127	5.84472	1.9845	0.0236667	0.245529	0	0.0514986	426364	424018	6266.71	169	731	345	186	99	4.57667	1.53012	0.0254846	0.240904	0	0.0556869	459113	457323	5745.61	169	731	346	211	112	4.64174	1.59594	0.0244358	0.244193	0	0.0530455	440219	437801	6322.16	169	731	338	201	109	4.71765	1.59192	0.0236875	0.237448	0	0.0523268	426739	426358	3835.29	169	731	327	193	99	4.3541	1.48999	0.0246503	0.229574	0	0.0528344	444084	443333	4336.77	169	731	346	205	108	4.81702	1.66647	0.0232676	0.231205	0	0.0524631	419174	419846	2573.54	169	716	290	163	108	4.44371	1.34666	0.0259214	0.251544	0	0.0560252	466983	465428	5580.62	169	731	348	209	108	5.00078	1.68638	0.0890303	129840	129184	901.328	2.13368	0.550733	0.285609	0.0890303	469	0.00997021	40	18792.5	82155.8	234.403	38.0466	161.015	58.7779	0.123103	0.0761192	20	2.8964	0.14482
7	0	0.0838769	190298	191239	1610.69	11.923	14.1964	0.0622359	141199	141928	1174.03	9.12195	10.7753	0.0690012	156548	154307	5656.14	10.0016	11.7994	0.0944054	214185	216488	0	13.4595	16.1132	0.0674416	153010	154668	0	9.67022	11.4858	0.0601367	136437	137146	1129.62	8.58779	10.1343	0.0660296	149807	147678	5395.91	9.32498	10.9861	0.052478	119061	117438	4218.03	7.43427	8.69348	0.0654734	148545	149205	1383.55	9.33584	11.0408	0.0264408	0.245838	0	0.0552026	663028	661026	6034.49	169	731	354	264	112	3.97346	5.05456	0.0252171	0.2392	0	0.0531731	632344	630666	5478.44	169	731	357	260	105	4.01415	5.11895	0.0296672	0.288549	0	0.0646807	743934	740778	7955.66	169	731	356	266	118	4.52452	5.71094	0.0335667	0.283827	0	0.0703544	841718	839546	7172.1	169	731	373	293	127	4.7536	5.99715	0.0235665	0.244446	0	0.0503893	590954	588595	6139.17	169	731	344	228	97	3.55864	4.43483	0.0256564	0.239116	0	0.0549001	643359	641624	5576.68	169	731	345	263	108	3.66383	4.68832	0.0243227	0.239177	0	0.0520427	609915	607357	6398.18	169	731	336	241	107	3.68786	4.63021	0.0238007	0.236911	0	0.051558	596826	596248	3943.68	169	731	326	263	98	3.40111	4.33748	0.0249552	0.22903	0	0.0521795	625777	625080	4213.62	169	731	346	279	107	3.77777	4.87151	0.0223291	0.223308	0	0.0498224	559925	560482	2481.85	169	716	289	168	101	3.42101	3.93608	0.0261061	0.251544	0	0.0552793	654636	653075	5488.66	169	731	347	247	106	3.92391	4.92172	0.0967868	196473	195881	790.034	2.56897	0.621079	0.285629	0.0967868	469	0.00714991	40	13507.2	82240.6	389.582	28.149	134.128	158.927	0.130782	0.0934776	20	2.87009	0.143505
8	0	0.0768976	82355.6	81352.6	2178.95	7.38891	0.812421	0.056721	60746.9	60025.4	1578.7	5.57901	0.607096	0.0620006	66401.3	64076	4782.96	6.08892	0.660792	0.0870228	93199.5	93237.6	0	8.38894	0.928937	0.0618024	66189	66248.8	0	5.93767	0.650727	0.0547832	58671.6	58480.7	1519.1	5.24522	0.569924	0.0593202	63530.7	61849.8	4554.8	5.66749	0.613862	0.0469156	50245.5	48527.3	3549.9	4.4718	0.479695	0.0596907	63927.4	63070.3	1856.75	5.72321	0.623789	0.0251782	0.238017	0	0.0526693	298038	293443	5648.62	169	731	353	256	109	2.71109	0.236025	0.023823	0.23306	0	0.0503961	281996	277534	5486.1	169	731	355	256	100	2.73476	0.239842	0.0292046	0.286773	0	0.0638263	345698	338933	8273.68	169	731	355	270	117	3.03383	0.260678	0.0331625	0.282531	0	0.0695666	392548	386540	7377	169	731	372	293	124	3.24472	0.27918	0.0221155	0.234316	0	0.0475481	261784	257025	5840.12	169	731	342	223	92	2.40377	0.203038	0.0243089	0.235612	0	0.0520872	287748	282936	5905.84	169	731	344	258	101	2.48424	0.219527	0.0231686	0.222738	0	0.0496238	274250	268849	6613.91	169	731	335	234	101	2.48422	0.212221	0.0226569	0.231719	0	0.0491276	268193	264967	3973.52	169	731	325	260	95	2.30805	0.202317	0.0238749	0.220645	0	0.0497642	282610	278997	4444.6	169	731	346	275	102	2.56864	0.230055	0.0207856	0.209221	0	0.0464986	246041	243961	2582.89	169	731	288	167	90	2.25014	0.170408	0.0246389	0.249664	0	0.0523869	291653	286962	5764.89	169	731	345	244	100	2.66937	0.228164	0.0129372	12397	12312.2	277.43	0.0902692	0.565154	0.272918	0.0129372	469	0.0072712	40	13735.5	82209.8	98.6181	17.4497	83.4745	8.4287	0.0807696	0.075	20	2.87908	0.143954
9	0	0.0708424	75908.5	75832.5	2128.46	6.8526	0.817275	0.0518457	55553.3	55520	1530.59	5.13421	0.606995	0.0558234	59815.4	58445	3838.41	5.50815	0.647275	0.0812301	87039	88410.6	0	7.88184	0.947917	0.0571654	61253.4	62222.6	0	5.53639	0.66012	0.0504554	54063.6	54034.6	1481.55	4.86581	0.574444	0.0538025	57650	56337.1	3679.42	5.16951	0.606347	0.0419603	44961	43970.5	2832.01	4.01829	0.467526	0.0545625	58464.4	58314	1800.12	5.26633	0.62336	0.0237577	0.228618	0	0.0499322	281363	276674	5746.48	169	0	353	239	103	2.50496	0.24426	0.0222055	0.225645	0	0.0475664	262981	258044	6035.77	169	0	353	232	93	2.50694	0.246233	0.0284515	0.286773	0	0.0629218	336952	329727	8819.33	169	0	354	254	114	2.88183	0.27631	0.0325583	0.278286	0	0.0686003	385589	378867	8216.55	169	0	372	284	123	3.10679	0.299268	0.0206391	0.221936	0	0.0449614	244430	239348	6200.85	169	0	340	201	87	2.18322	0.206258	0.0228768	0.222407	0	0.0494523	270931	266161	5842.16	169	0	343	236	96	2.28363	0.224696	0.0216448	0.212727	0	0.0470208	256339	251264	6218.69	169	0	333	211	95	2.28565	0.217186	0.0213428	0.21635	0	0.0466466	252763	249445	4072.95	169	0	324	237	88	2.13759	0.210806	0.0221869	0.20885	0	0.0470347	262760	258795	4856.92	169	0	342	242	95	2.39143	0.238786	0.0196166	0.194693	0	0.044024	232320	230240	2574.34	169	0	287	165	86	2.04146	0.174776	0.0230196	0.235908	0	0.0495584	272621	267947	5715.07	169	0	343	231	96	2.44285	0.233543	0.0534288	51223.3	50781.8	574.156	0.577503	0.517688	0.2583	0.0534288	469	0.0108839	40	20560.2	82163.8	98.7479	21.2211	77.577	8.52338	0.0921014	0.075	20	2.88083	0.144042
10	0	0.0766168	107298	107454	2008.98	8.26836	6.50604	0.0550406	77081.4	77227.9	1417.76	6.12316	4.77029	0.0590023	82629.5	80845.5	4349.58	6.49803	5.03535	0.0892917	125048	126802	0	9.68265	7.69197	0.0616492	86336.4	87562.3	0	6.70855	5.27669	0.0535079	74934.9	75082.6	1372.61	5.79425	4.50705	0.0568028	79549.2	77846.5	4169.25	6.08669	4.70735	0.0435732	61021.9	59762.1	3155.91	4.69132	3.59521	0.0580172	81250	81282.8	1669.09	6.28307	4.90134	0.0226369	0.213344	0	0.0473792	350388	345773	5921.39	169	0	352	247	98	2.89415	1.81343	0.021008	0.218536	0	0.0449718	325175	320639	5767.39	169	0	349	231	87	2.85517	1.80345	0.0274229	0.286773	0	0.0614386	424468	419835	8337.58	169	0	348	244	111	3.42994	2.08553	0.0319248	0.276423	0	0.0676118	494151	489906	8241.97	169	0	369	279	120	3.7288	2.28804	0.0194049	0.206438	0	0.0423966	300360	295864	5707.78	169	0	336	194	78	2.48523	1.49304	0.0216573	0.214577	0	0.0468155	335225	330551	5966.85	169	0	342	233	93	2.6326	1.67379	0.0205082	0.199211	0	0.044445	317439	312494	6308.44	169	0	331	207	79	2.61505	1.58864	0.020274	0.208422	0	0.0441514	313813	310551	4228.73	169	0	323	247	82	2.4704	1.58345	0.0211641	0.202086	0	0.0446361	327590	324119	4473.28	169	0	341	249	89	2.72311	1.76922	0.0186277	0.191045	0	0.0418714	288331	286206	2636.81	169	0	286	164	82	2.35754	1.30743	0.0217547	0.226304	0	0.0471677	336732	332479	5476.83	169	0	339	229	89	2.79227	1.71471	0.0887206	111170	110457	930.005	1.23793	0.553502	0.246383	0.0887206	467	0.00552797	40	10490	82140.2	178.651	28.8876	92.3583	66.112	0.099228	0.0791154	20	2.85481	0.14274
11	0	0.0730952	83600.5	83438.3	2416.21	8.25228	0.987526	0.0519161	59377.5	59291.3	1686.41	6.01081	0.713503	0.0550316	62940.7	61303.8	4301.61	6.33676	0.746191	0.0863226	98728.9	100255	0	9.77722	1.18227	0.058806	67257.5	68305.3	0	6.65939	0.798548	0.0503936	57636.2	57558.2	1629.32	5.68275	0.673431	0.0529086	60512.6	58956.4	4110.46	5.93042	0.696893	0.0402398	46023.1	44873.7	3088.87	4.50371	0.525437	0.0548018	62678	62458.4	1988.21	6.17808	0.733965	0.0214535	0.206768	0	0.0451084	271196	266378	5893.03	169	55	350	235	93	2.66717	0.267968	0.0199222	0.207125	0	0.0427249	251839	247483	5331.02	169	55	347	221	84	2.61552	0.265169	0.0267372	0.286773	0	0.060382	337988	332565	8783.48	169	731	344	242	109	3.22066	0.313838	0.031156	0.276423	0	0.0663572	393847	389070	8281.01	169	731	366	279	118	3.55316	0.349965	0.0180603	0.197597	0	0.0398962	228302	223970	5303.38	169	55	332	184	69	2.2653	0.217779	0.0205522	0.207492	0	0.0445151	259803	254711	6222.1	169	55	342	225	90	2.40933	0.245522	0.0193091	0.194041	0	0.0421536	244089	239080	6124.05	169	55	329	199	75	2.39734	0.232811	0.0190251	0.200272	0	0.0417054	240499	237152	4100.04	169	55	321	233	75	2.269	0.234148	0.0201724	0.197968	0	0.0426007	255002	251224	4626.34	169	55	341	240	84	2.51362	0.263303	0.0174669	0.180078	0	0.0395418	220801	218760	2522.28	169	0	284	161	71	2.16262	0.193211	0.0204026	0.217059	0	0.0446097	257911	253572	5314.89	169	55	334	216	81	2.55479	0.251414	0.0279133	28564.5	28324.8	421.59	0.437724	0.523515	0.234258	0.0279133	464	0.00456358	40	8640.34	82144.3	116.288	24.984	88.3977	9.89289	0.0849375	0.075001	20	2.85256	0.142628
12	0	0.070075	87383.1	87320.3	2380.27	9.40342	1.85817	0.0491271	61261.2	61243.6	1640.1	6.7579	1.3273	0.0515041	64225.3	62521.2	4314	7.03992	1.37164	0.0842736	105089	106837	0	11.3582	2.26493	0.0565467	70513.3	71691.2	0	7.61585	1.50952	0.0476143	59374.7	59364.9	1579.64	6.37726	1.25129	0.0494506	61664.6	60046.5	4116.73	6.57769	1.27973	0.037236	46433.1	45248.8	3060.96	4.94308	0.956058	0.0519015	64720.9	64572.4	1932.72	6.95449	1.36647	0.0202216	0.190112	0	0.0428078	278706	274038	5714.86	169	0	347	221	83	2.74259	0.623607	0.0186799	0.190468	0	0.0404585	257457	253096	5335.32	169	0	342	207	75	2.69818	0.614662	0.0262992	0.284829	0	0.0593711	362470	356812	9236.87	169	731	343	238	108	3.41128	0.768187	0.0307571	0.276423	0	0.0654153	423912	419114	8554.08	169	731	366	278	117	3.77991	0.851983	0.0169803	0.188476	0	0.0377908	234033	229454	5603.4	169	0	328	179	66	2.28311	0.502275	0.0194672	0.202089	0	0.0424365	268308	263771	5542.53	169	0	341	209	85	2.48216	0.566059	0.0178419	0.189919	0	0.0396171	245908	241352	5582.8	169	0	324	192	70	2.43905	0.541975	0.0180596	0.191598	0	0.0396544	248907	245675	3971.97	169	0	321	225	71	2.32447	0.538756	0.0191516	0.187897	0	0.0405144	263959	260115	4699.03	169	0	341	227	78	2.615	0.60706	0.016434	0.17069	0	0.0374954	226503	224426	2567.87	169	0	282	159	61	2.19981	0.463225	0.0193025	0.200503	0	0.0425025	266037	261838	5144.14	169	0	332	211	78	2.60068	0.582346	0.0941383	105033	104135	1155.21	1.79565	0.497729	0.223195	0.0941383	463	0.00604399	40	11417.2	82132.5	141.375	29.0577	98.3997	19.8453	0.116709	0.0751027	20	2.84932	0.142466
