year	fire	meanGCover0	meanGB0	pgrest0	grazedGBM0	PTranspirationL10	PTranspirationL20	meanGCover1	meanGB1	pgrest1	grazedGBM1	PTranspirationL11	PTranspirationL21	meanGCover2	meanGB2	pgrest2	grazedGBM2	PTranspirationL12	PTranspirationL22	meanGCover3	meanGB3	pgrest3	grazedGBM3	PTranspirationL13	PTranspirationL23	meanGCover4	meanGB4	pgrest4	grazedGBM4	PTranspirationL14	PTranspirationL24	meanGCover5	meanGB5	pgrest5	grazedGBM5	PTranspirationL15	PTranspirationL25	meanGCover6	meanGB6	pgrest6	grazedGBM6	PTranspirationL16	PTranspirationL26	meanGCover7	meanGB7	pgrest7	grazedGBM7	PTranspirationL17	PTranspirationL27	meanGCover8	meanGB8	pgrest8	grazedGBM8	PTranspirationL18	PTranspirationL28	meanSCover0	MaxSCover0	MinSCover0	SDSCover0	meanSB0	srest0	grazedSBM0	shrubCells0	estCells0	sc010	sc10	sc100	STranspirationL10	STranspirationL20	meanSCover1	MaxSCover1	MinSCover1	SDSCover1	meanSB1	srest1	grazedSBM1	shrubCells1	estCells1	sc011	sc11	sc101	STranspirationL11	STranspirationL21	meanSCover2	MaxSCover2	MinSCover2	SDSCover2	meanSB2	srest2	grazedSBM2	shrubCells2	estCells2	sc012	sc12	sc102	STranspirationL12	STranspirationL22	meanSCover3	MaxSCover3	MinSCover3	SDSCover3	meanSB3	srest3	grazedSBM3	shrubCells3	estCells3	sc013	sc13	sc103	STranspirationL13	STranspirationL23	meanSCover4	MaxSCover4	MinSCover4	SDSCover4	meanSB4	srest4	grazedSBM4	shrubCells4	estCells4	sc014	sc14	sc104	STranspirationL14	STranspirationL24	meanSCover5	MaxSCover5	MinSCover5	SDSCover5	meanSB5	srest5	grazedSBM5	shrubCells5	estCells5	sc015	sc15	sc105	STranspirationL15	STranspirationL25	meanSCover6	MaxSCover6	MinSCover6	SDSCover6	meanSB6	srest6	grazedSBM6	shrubCells6	estCells6	sc016	sc16	sc106	STranspirationL16	STranspirationL26	meanSCover7	MaxSCover7	MinSCover7	SDSCover7	meanSB7	srest7	grazedSBM7	shrubCells7	estCells7	sc017	sc17	sc107	STranspirationL17	STranspirationL27	meanSCover8	MaxSCover8	MinSCover8	SDSCover8	meanSB8	srest8	grazedSBM8	shrubCells8	estCells8	sc018	sc18	sc108	STranspirationL18	STranspirationL28	meanSCover9	MaxSCover9	MinSCover9	SDSCover9	meanSB9	srest9	grazedSBM9	shrubCells9	estCells9	sc019	sc19	sc109	STranspirationL19	STranspirationL29	meanSCover10	MaxSCover10	MinSCover10	SDSCover10	meanSB10	srest10	grazedSBM10	shrubCells10	estCells10	sc0110	sc110	sc1010	STranspirationL110	STranspirationL210	meanACover0	meanAB0	agrest0	grazedABM0	ATranspirationL10	meanGtotalcover	meanStotalcover	meanAtotalcover	scsum01	meanRCover	effSR	meanRB	BMGrazed	AnnualRain	Annualevaporation	AnnualtranspirationL1	AnnualtranspirationL2	ML1	ML2	Richness	ShannonDiv	Evenness
0	0	0.0347934	53109.3	49683.9	5912.64	4.59875	5.00496	0.0331963	50671.5	47452.5	5586.03	4.58154	4.92506	0.0350174	53451.2	49849.9	6125.79	4.72515	5.15099	0.0347906	53105.1	49819.1	5753.52	4.59877	5.00488	0.0330276	50414	47352.6	5396.67	4.46242	4.7904	0.033033	50422.3	47223.2	5553.95	4.46242	4.79041	0.0347922	53107.4	49538.3	6076.28	4.59874	5.00484	0.0334983	51132.4	47739.1	5801.89	4.49905	4.84794	0.0334962	51129.3	47739	5798.34	4.49901	4.84794	0.0360562	0.290122	0	0.0770851	608303	608027	349.517	189	0	187	187	151	5.50397	1.50879	0.0365899	0.293753	0	0.0771723	617307	617030	350.091	189	0	188	188	158	5.82463	1.59795	0.0332168	0.292652	0	0.0719692	560399	560013	486.819	189	0	188	188	139	5.02341	1.37557	0.0345889	0.296121	0	0.074856	583547	583281	336.511	189	0	187	187	147	5.06342	1.38977	0.0340266	0.290372	0	0.0731405	574062	573681	480.773	189	0	187	187	146	5.21966	1.43278	0.0353223	0.288633	0	0.0758778	595922	595638	358.984	189	0	189	189	147	5.12384	1.40698	0.0345903	0.292067	0	0.0736492	583571	583240	418.054	189	0	188	188	154	5.25322	1.44272	0.0359727	0.294649	0	0.0769439	606894	606760	171.674	189	0	188	188	148	5.22776	1.43337	0.0338526	0.282779	0	0.0724868	571126	571003	157.068	189	0	188	188	144	5.15516	1.41386	0.0344777	0.281924	0	0.0738039	581672	581541	167.951	189	0	189	189	148	5.22872	1.43771	0.0360923	0.292304	0	0.077218	608912	608637	347.333	189	0	187	187	151	5.46267	1.49734	0.210496	287483	265721	26523.1	5.68489	0.305645	0.384786	0.210496	189	0	40	0	82153	209.252	82.7456	104.804	60.3067	0.110184	0.0874365	11	2.99423	0.272203
1	0	0.0318903	34720.7	30794.7	7637.98	2.90149	0.779943	0.0299212	32576.9	28970.1	7089.51	2.79317	0.742047	0.0320537	34898.7	30817.6	7869.93	2.9856	0.802967	0.0319711	34808.7	31005.6	7464	2.90986	0.782936	0.029803	32448.2	28979.8	6882.29	2.71872	0.72198	0.0297188	32356.6	28781.6	7033.41	2.71078	0.719192	0.0317907	34612.3	30577.3	7791.82	2.8924	0.776719	0.0302021	32882.7	29111.9	7339.25	2.75246	0.732081	0.0302014	32882	29111.8	7338.42	2.75265	0.732209	0.0344914	0.281254	0	0.0737013	415056	414853	253.269	189	0	187	187	147	3.79332	0.178615	0.0347854	0.279295	0	0.0736809	418594	418391	253.75	189	0	187	187	154	4.00648	0.189271	0.0316439	0.2901	0	0.0687726	380791	380487	379.564	189	0	187	187	132	3.49071	0.164388	0.0328219	0.292447	0	0.0713683	394966	394782	230.034	189	0	186	186	142	3.48776	0.165414	0.0325775	0.288508	0	0.0700823	392025	391734	363.691	189	0	187	187	144	3.57935	0.168666	0.0336057	0.28546	0	0.0727148	404398	404196	252.978	189	0	187	187	138	3.56356	0.168738	0.0330371	0.280083	0	0.0703638	397556	397316	300.465	189	0	188	188	152	3.63828	0.172173	0.0341907	0.290639	0	0.0734643	411437	411339	123.289	189	0	187	187	144	3.62851	0.170959	0.0322157	0.278642	0	0.0691815	387672	387577	118.244	189	0	187	187	140	3.56085	0.168329	0.0321018	0.279844	0	0.0695056	386301	386209	113.747	189	0	185	185	142	3.62024	0.171101	0.0345217	0.28484	0	0.0742198	415421	415204	271.018	189	0	186	186	148	3.79736	0.179343	0.0651608	63476.4	55724	13020.2	1.0342	0.277552	0.365993	0.0651608	189	0	40	0	82126.8	102.937	53.083	66.6182	8.68738	0.0878276	0.0750213	11	2.99063	0.271875
2	0	0.0379736	90009.3	87200.4	6937.24	5.13084	8.54772	0.0334724	79340	76939.8	6066.33	4.67547	7.65007	0.0382903	90760	87775.9	7181.71	5.28778	8.82482	0.0382447	90652	87967.2	6803.15	5.17224	8.61925	0.0332836	78892.6	76647.8	5855.39	4.54756	7.42925	0.0330619	78367.1	76010.5	5978.82	4.51018	7.36466	0.037694	89346.5	86418.2	7064.67	5.086	8.46825	0.0340312	80664.6	78086.8	6334.27	4.63126	7.60075	0.0340329	80668.6	78093.7	6330.57	4.63142	7.60165	0.0327481	0.272808	0	0.0702979	857941	857628	391.305	189	0	186	186	142	4.7442	5.49069	0.0343916	0.278693	0	0.0728526	900998	900675	403.061	189	0	187	187	152	4.99879	5.7813	0.031414	0.28977	0	0.0682595	822989	822545	554.735	189	0	187	187	132	4.36499	5.03709	0.0325646	0.290445	0	0.0708365	853133	852819	393.138	189	0	186	186	142	4.35205	5.03881	0.0321596	0.288508	0	0.0691432	842524	842044	599.388	189	0	187	187	143	4.49131	5.18064	0.0331581	0.284255	0	0.0717216	868683	868360	403.256	189	0	187	187	137	4.4473	5.14489	0.0326495	0.276689	0	0.0694913	855357	854954	503.076	189	0	188	188	151	4.56023	5.27684	0.0334865	0.285995	0	0.0721802	877286	877128	197.664	189	0	186	186	143	4.51794	5.21954	0.0313944	0.277972	0	0.0680289	822476	822334	177.81	189	0	184	184	138	4.44619	5.15348	0.0311799	0.276649	0	0.0677442	816857	816715	176.977	189	0	184	184	136	4.41767	5.10689	0.0341082	0.282885	0	0.0734403	893574	893254	399.629	189	0	185	185	147	4.76608	5.51513	0.155807	330437	314862	19478.8	4.54933	0.320085	0.359255	0.155807	189	0.0610925	40	113159	82231	414.246	77.8195	98.3289	130.052	0.125947	0.118096	15	2.9942	0.199613
3	0	0.0502964	105553	102647	7688.39	6.90234	13.5849	0.0414054	86894.7	84551.8	6346.66	5.90955	11.4598	0.051051	107137	104019	8027.67	7.152	14.0774	0.0507867	106583	103799	7547.57	6.97435	13.7515	0.0409627	85965.5	83773.5	6106.49	5.72586	11.1039	0.0406054	85215.6	82923.3	6225.84	5.66836	10.9703	0.0497728	104455	101433	7816.12	6.82655	13.4077	0.0425417	89279.4	86735.3	6699.41	5.91047	11.4751	0.0425479	89292.3	86749.9	6698.17	5.91188	11.4791	0.030694	0.261319	0	0.0665403	711959	720987	325.84	189	0	183	183	132	4.62291	4.09853	0.033231	0.276623	0	0.0708436	770807	780437	364.361	189	0	185	185	151	5.06228	4.49625	0.0307569	0.28736	0	0.0670332	713419	722113	506.871	189	0	186	186	130	4.43945	3.93133	0.0320293	0.286326	0	0.0696767	742932	752294	352.944	189	0	186	186	142	4.42412	3.93019	0.031033	0.288293	0	0.0669399	719823	728873	509.258	189	0	186	186	137	4.54225	4.02397	0.0321516	0.270483	0	0.0696476	745770	755025	376.443	189	0	186	186	136	4.49711	3.99652	0.0315311	0.272455	0	0.0673192	731375	740386	412.525	189	0	187	187	146	4.61669	4.10381	0.0322584	0.278957	0	0.0697831	748246	757624	174.777	189	0	185	185	138	4.53851	4.02244	0.0305867	0.277096	0	0.0662729	709471	718482	156.935	189	0	184	184	135	4.44083	3.9413	0.0297452	0.267706	0	0.0648617	689952	698943	149.242	189	0	183	183	133	4.39739	3.89826	0.0331786	0.280749	0	0.0716608	769591	778998	347.648	189	0	184	184	145	4.8265	4.28581	0.171866	322717	311369	15348	4.60498	0.40997	0.347196	0.171866	189	0.0378192	40	71125.8	82181.1	348.25	66.002	111.994	156.045	0.123488	0.113832	20	2.97936	0.148968
4	0	0.0614124	108433	105305	8458.17	9.94973	8.83603	0.0480356	84888.5	82413	6638.55	8.07319	7.00606	0.0626243	110562	107210	8866.41	10.3628	9.21185	0.0621937	109810	106798	8335.44	10.0746	8.96704	0.0473313	83650.3	81334.3	6357.04	7.78904	6.75445	0.0468086	82728	80320.1	6462.8	7.69894	6.66072	0.0606364	107066	103816	8586.75	9.81646	8.69599	0.049715	87843.6	85158.4	7058.04	8.14262	7.08447	0.0497059	87827.8	85153.6	7041.05	8.14414	7.08501	0.0296733	0.252489	0	0.063363	581449	587077	307.652	189	711	342	182	129	5.49764	2.31041	0.0320181	0.266278	0	0.0672763	627400	633400	307.189	189	711	355	184	149	6.19905	2.61004	0.0299294	0.280152	0	0.0642438	586470	591943	451.366	189	711	333	185	128	5.5012	2.2984	0.0310581	0.27183	0	0.0664726	608587	614394	314.277	189	711	358	185	131	5.51218	2.32672	0.0301416	0.27199	0	0.0638308	590622	596220	439.393	189	711	340	186	136	5.55693	2.33774	0.0312452	0.266788	0	0.0665522	612257	618069	303.723	189	711	344	186	128	5.52402	2.31626	0.0305037	0.26158	0	0.0641833	597720	603307	362.545	189	711	341	186	141	5.64626	2.37141	0.0312015	0.271098	0	0.066365	611406	617284	154	189	711	338	185	135	5.53162	2.29966	0.029504	0.262124	0	0.0631605	578145	583793	150.571	189	711	326	183	128	5.46868	2.26495	0.0284074	0.255548	0	0.0612117	556641	562192	139.115	189	711	329	181	127	5.32008	2.24277	0.0320766	0.265314	0	0.0686652	628552	634395	336.766	189	711	339	181	141	5.94026	2.47576	0.138957	215303	212550	11163.5	3.97519	0.488463	0.335759	0.138957	480	0.101464	40	189268	82234.4	269.164	61.4393	145.725	96.1564	0.114882	0.082658	20	2.95558	0.147779
5	0	0.0593501	79363.6	75322.9	9155.28	7.96235	3.29964	0.045434	60754.8	57710.4	6999.1	6.22917	2.54253	0.0606308	81076.2	76773.8	9616.98	8.31802	3.44971	0.0602352	80547.1	76603.9	9038.59	8.08172	3.35289	0.0447267	59809	56931.8	6705.54	5.99321	2.44414	0.044177	59074	56122.3	6801	5.91309	2.40823	0.0585386	78278.5	74137.1	9278.22	7.842	3.24508	0.0471356	63030.3	59737.8	7463.75	6.31342	2.5822	0.0471367	63031.8	59741.4	7459.99	6.31324	2.58195	0.0284733	0.241486	0	0.0600677	420826	424777	302.484	189	711	348	181	125	3.87349	1.04166	0.0307442	0.257928	0	0.063968	454390	458574	319.985	189	711	363	183	143	4.35685	1.17895	0.0290731	0.26484	0	0.0615635	429691	433573	449.953	189	711	340	184	127	3.90251	1.04405	0.0299925	0.262143	0	0.0632495	443280	447341	346.814	189	711	363	184	129	3.89696	1.056	0.0291275	0.263835	0	0.0609255	430496	434403	459.842	189	711	345	186	131	3.93436	1.05869	0.0302296	0.252655	0	0.0634369	446784	450867	325.151	189	711	349	187	120	3.9127	1.05315	0.0292542	0.257554	0	0.0610193	432369	436287	377.529	189	711	341	184	134	3.98218	1.07262	0.0299702	0.25894	0	0.0630951	442951	447206	154.543	189	711	342	184	130	3.89801	1.03828	0.0281863	0.257037	0	0.0599487	416585	420512	148.489	189	711	335	180	124	3.84385	1.01961	0.0273825	0.252074	0	0.058271	404706	408663	130.99	189	711	333	180	121	3.70643	1.00362	0.0307374	0.257836	0	0.065461	454290	458388	338.877	189	711	344	180	136	4.18392	1.11939	0.0691307	82711.6	78642.4	6348.42	1.61565	0.467365	0.323171	0.0691307	488	0.120599	40	225520	82221.5	163.29	38.1442	108.073	37.5922	0.113339	0.0755622	20	2.95795	0.147898
6	0	0.0655101	106822	102366	9078.58	10.9712	5.19	0.0484181	78951.9	75707.5	6702.8	8.34468	3.86928	0.0670752	109375	104635	9535.06	11.4841	5.44158	0.0665158	108462	104119	8961.62	11.1662	5.28724	0.0475882	77598.6	74544.2	6402.2	8.01985	3.71293	0.0469397	76541.2	73405	6490.66	7.89823	3.65249	0.0644884	105157	100604	9170.78	10.7873	5.09688	0.0504435	82254.6	78733.5	7172.42	8.48336	3.94654	0.0504327	82237	78721.9	7163.78	8.48412	3.94675	0.0273759	0.229205	0	0.0569239	493388	497001	343.255	189	711	351	195	120	5.0987	1.79573	0.0296466	0.25384	0	0.0606221	534312	538186	366.209	189	711	363	205	133	5.74069	2.04526	0.0285825	0.26048	0	0.0591754	515135	518727	503.429	189	711	343	211	121	5.20875	1.83164	0.029374	0.25095	0	0.0606556	529400	533218	408.747	189	711	364	204	125	5.17358	1.84825	0.0282063	0.256781	0	0.0580034	508355	511942	520.804	189	711	348	205	126	5.21726	1.8403	0.0291122	0.244411	0	0.0600775	524681	528444	363.419	189	711	352	206	114	5.19286	1.83442	0.0279625	0.24586	0	0.0575347	503960	507468	440.893	189	711	342	207	124	5.24068	1.85334	0.0289752	0.246769	0	0.059799	522211	526187	172.028	189	711	345	202	125	5.13627	1.79384	0.0273664	0.243287	0	0.0571728	493217	496950	154.856	189	711	336	200	120	5.03301	1.74303	0.0263146	0.24541	0	0.0552837	474261	477898	153.964	189	711	336	202	117	4.89825	1.7387	0.0301428	0.246213	0	0.0627729	543255	547157	371.22	189	711	347	205	134	5.50787	1.93112	0.0972652	141908	136007	7702.21	2.95702	0.507412	0.313059	0.0972652	494	0.118183	40	222020	82178.9	234.565	51.7939	146.044	60.3993	0.122344	0.0787117	20	2.93881	0.14694
7	0	0.0599048	76170.8	71907.2	9301.63	8.06977	1.91909	0.0437051	55572.4	52502	6765.77	6.00675	1.41166	0.0613248	77976.4	73440.8	9785.11	8.4572	2.01262	0.0609495	77499.3	73315.6	9218.34	8.21351	1.95535	0.0429867	54658.9	51755.3	6474.09	5.76935	1.35474	0.0423148	53804.7	50833.5	6552.61	5.67681	1.33153	0.0588422	74819.8	70474.3	9386.76	7.92442	1.88232	0.0455683	57941.6	54612.1	7249.75	6.12069	1.44112	0.0455729	57947.5	54617.9	7249.37	6.12003	1.44085	0.0260363	0.222089	0	0.0538438	365908	368821	322.289	189	711	349	214	114	3.58581	0.740976	0.0287073	0.244195	0	0.0579813	403445	406523	330.51	189	711	363	231	130	4.05939	0.852891	0.0276121	0.249088	0	0.0565479	388055	390860	483.662	189	711	342	243	117	3.74724	0.775518	0.0284206	0.242308	0	0.0580476	399417	402451	353.695	189	711	364	235	120	3.70704	0.780063	0.027346	0.250693	0	0.0557107	384315	387124	507.796	189	711	349	220	119	3.70276	0.769057	0.0278775	0.241186	0	0.0570476	391784	394752	324.754	189	711	351	227	110	3.66124	0.763075	0.0268387	0.23699	0	0.0546794	377185	379959	416.842	189	711	341	231	118	3.67008	0.7658	0.0279446	0.241646	0	0.0570541	392728	395911	145.332	189	711	345	225	123	3.63843	0.7496	0.0261524	0.23822	0	0.0544859	367541	370458	149.475	189	711	334	213	115	3.57508	0.730447	0.0254387	0.232026	0	0.0527502	357509	360402	131.508	189	711	337	217	114	3.45383	0.723494	0.0290181	0.241755	0	0.0601059	407814	410946	326.544	189	711	345	225	129	3.94907	0.816278	0.0793652	90292.7	85572	6666.58	1.67399	0.461169	0.301392	0.0793652	494	0.0836193	40	157889	82142.4	147.336	34.3416	104.783	23.2165	0.110227	0.0752605	20	2.94891	0.147445
8	0	0.0685222	175216	171000	9228.34	11.0572	14.0559	0.0480625	122900	119956	6490.35	8.02659	10.059	0.0703171	179806	175266	9748.96	11.5956	14.7613	0.0698986	178736	174638	9138.99	11.2839	14.3533	0.0471841	120653	117907	6180.99	7.70908	9.64808	0.0463371	118488	115658	6249.72	7.56477	9.46044	0.0671348	171669	167349	9293.85	10.8258	13.7506	0.0503633	128783	125556	6985.08	8.19855	10.3028	0.0503387	128720	125502	6972.61	8.19987	10.3052	0.0256818	0.215196	0	0.0514892	725830	730126	377.856	189	711	349	298	107	4.69725	6.91489	0.029105	0.244195	0	0.0570077	822579	827264	408.206	189	711	362	322	127	5.41689	8.04983	0.0282527	0.249088	0	0.0559083	798490	802890	638.438	189	711	344	311	117	4.99302	7.35827	0.0288872	0.241749	0	0.0570036	816423	821135	428.62	189	711	364	335	119	4.95743	7.42643	0.0279273	0.249839	0	0.055112	789293	793699	673.442	189	711	348	318	118	4.94075	7.2634	0.0284792	0.241186	0	0.056434	804890	809512	413.679	189	711	353	319	109	4.83705	7.15555	0.0275202	0.236095	0	0.0540784	777787	782111	482.051	189	711	341	322	117	4.86473	7.20692	0.028377	0.241528	0	0.0562735	802002	806868	203.103	189	711	346	309	121	4.82723	7.05798	0.0264472	0.23822	0	0.0537049	747462	751941	185.579	189	711	337	281	114	4.69883	6.8393	0.0257209	0.232026	0	0.0518932	726936	731377	184.946	189	711	335	302	112	4.59166	6.75629	0.0293452	0.241241	0	0.059167	829366	834174	404.405	189	711	344	313	125	5.23265	7.69003	0.100373	229645	223808	7512.23	3.02747	0.518158	0.305744	0.100373	497	0.104985	40	197919	82201.4	459.614	49.644	141.546	186.416	0.133683	0.110064	20	2.92576	0.146288
9	0	0.0533438	54361.5	49817.7	10065.4	5.04614	0.643533	0.0372706	37981.6	34831.4	7013.12	3.58938	0.451348	0.0548002	55845.7	51051.9	10593.8	5.29918	0.676016	0.0525042	53505.9	49156.9	9810.49	5.15497	0.658585	0.0365565	37254	34253.4	6696.56	3.44334	0.432907	0.0371229	37831.1	34694.9	6881.8	3.37632	0.423713	0.0540802	55111.9	50377.7	10308.9	4.93624	0.628065	0.0389878	39731.6	36341.1	7537.38	3.67711	0.463265	0.0389586	39701.9	36319.7	7522.66	3.67572	0.463097	0.0241597	0.200204	0	0.0479754	272122	271880	303.015	189	711	349	301	95	2.25713	0.218697	0.0277196	0.228114	0	0.053987	312220	311931	360.372	189	711	361	325	121	2.66292	0.262008	0.0269759	0.230557	0	0.0531218	303843	303422	525.905	189	711	342	322	113	2.47634	0.238006	0.027846	0.238544	0	0.0543184	313643	313350	366.301	189	711	364	342	116	2.43885	0.242938	0.0264455	0.240086	0	0.0518088	297869	297439	538.055	189	711	347	321	112	2.44696	0.235704	0.0267922	0.233465	0	0.053174	301774	301509	331.632	189	711	350	321	105	2.39669	0.232247	0.0260995	0.229365	0	0.0510583	293972	293631	425.712	189	711	340	324	110	2.41505	0.233746	0.0269817	0.237113	0	0.0531455	303908	303771	172.272	189	711	345	319	117	2.38105	0.225003	0.0246206	0.232556	0	0.0501839	277314	277190	156.028	189	711	333	283	107	2.31044	0.216581	0.0243668	0.228442	0	0.048869	274455	274337	147.59	189	711	334	305	109	2.2571	0.216886	0.0281767	0.234552	0	0.0563074	317369	317091	347.303	189	711	344	321	122	2.57147	0.246208	0.00528306	4817.13	4523.54	2025.29	0.129369	0.403625	0.290184	0.00528306	497	0.0782333	40	147626	82129.7	86.011	21.7154	64.9418	7.40842	0.0778879	0.075	20	2.96193	0.148096
