ParameterName	ParameterValue	Cover
Transcoef	0.1125	0.120961526315789
Transcoef	0.1125	0.0872076368421053
Transcoef	0.1125	0.0894337842105263
Transcoef	0.1125	0.0865087684210526
Transcoef	0.1125	0.0828214
Transcoef	0.1125	0.0888520684210526
Transcoef	0.1125	0.0819916684210526
Transcoef	0.1125	0.0820193210526316
Transcoef	0.1125	0.0887947157894737
Transcoef	0.1125	0.00796786368421053
Transcoef	0.1125	0.133444263157895
Transcoef	0.1125	0.130194578947368
Transcoef	0.1125	0.124167473684211
Transcoef	0.1125	0.138516947368421
Transcoef	0.1125	0.127664631578947
Transcoef	0.1125	0.0431145263157895
Transcoef	0.1125	0.105013189473684
Transcoef	0.1125	0.124265157894737
Transcoef	0.1125	0.135288526315789
Transcoef	0.1125	0.115010421052632
Transcoef	0.1125	0.0283156578947368
Transcoef	0.1125	0.0464174684210526
Transcoef	0.1125	0.133272157894737
Transcoef	0.1125	0.134493157894737
Transcoef	0.1125	0.0918827263157895
Transcoef	0.1125	0.0839264315789474
Transcoef	0.1125	0.0897032842105263
Transcoef	0.1125	0.0891416052631579
Transcoef	0.1125	0.0875559421052632
Transcoef	0.1125	0.0912441736842105
Transcoef	0.115625	0.130782631578947
Transcoef	0.115625	0.0957879315789474
Transcoef	0.115625	0.0986874157894737
Transcoef	0.115625	0.0948976947368421
Transcoef	0.115625	0.0911123421052632
Transcoef	0.115625	0.0961872578947368
Transcoef	0.115625	0.0898713947368421
Transcoef	0.115625	0.0898535368421053
Transcoef	0.115625	0.0972975947368421
Transcoef	0.115625	0.00814093789473684
Transcoef	0.115625	0.144244157894737
Transcoef	0.115625	0.141975263157895
Transcoef	0.115625	0.133566368421053
Transcoef	0.115625	0.150520473684211
Transcoef	0.115625	0.139414578947368
Transcoef	0.115625	0.0445698736842105
Transcoef	0.115625	0.119092368421053
Transcoef	0.115625	0.135136578947368
Transcoef	0.115625	0.148667631578947
Transcoef	0.115625	0.125751210526316
Transcoef	0.115625	0.0334947736842105
Transcoef	0.115625	0.0428573578947368
Transcoef	0.115625	0.146157947368421
Transcoef	0.115625	0.148214210526316
Transcoef	0.115625	0.0997359736842105
Transcoef	0.115625	0.0925937368421053
Transcoef	0.115625	0.0980227578947368
Transcoef	0.115625	0.0974617894736842
Transcoef	0.115625	0.0953191789473684
Transcoef	0.115625	0.101136126315789
Transcoef	0.11875	0.141907157894737
Transcoef	0.11875	0.103311994736842
Transcoef	0.11875	0.108955473684211
Transcoef	0.11875	0.103311736842105
Transcoef	0.11875	0.0998437
Transcoef	0.11875	0.105635231578947
Transcoef	0.11875	0.0982988473684211
Transcoef	0.11875	0.0968456052631579
Transcoef	0.11875	0.105383184210526
Transcoef	0.11875	0.00819239157894737
Transcoef	0.11875	0.157527421052632
Transcoef	0.11875	0.155870210526316
Transcoef	0.11875	0.145189105263158
Transcoef	0.11875	0.164766052631579
Transcoef	0.11875	0.150124105263158
Transcoef	0.11875	0.0441488684210526
Transcoef	0.11875	0.120910105263158
Transcoef	0.11875	0.145965631578947
Transcoef	0.11875	0.160675315789474
Transcoef	0.11875	0.136030473684211
Transcoef	0.11875	0.0346465631578947
Transcoef	0.11875	0.0574639473684211
Transcoef	0.11875	0.157504052631579
Transcoef	0.11875	0.160159105263158
Transcoef	0.11875	0.108647663157895
Transcoef	0.11875	0.1015705
Transcoef	0.11875	0.106638926315789
Transcoef	0.11875	0.107550663157895
Transcoef	0.11875	0.104526147368421
Transcoef	0.11875	0.109511631578947
Transcoef	0.121875	0.152756
Transcoef	0.121875	0.112302947368421
