ParameterName	ParameterValue	Cover
WP	0.0684	0.506231052631579
WP	0.0684	0.368322263157895
WP	0.0684	0.393741631578947
WP	0.0684	0.375429
WP	0.0684	0.373897894736842
WP	0.0684	0.376424157894737
WP	0.0684	0.357286631578947
WP	0.0684	0.365481631578947
WP	0.0684	0.385694157894737
WP	0.0684	0.0375902105263158
WP	0.0684	0.519780315789474
WP	0.0684	0.551361789473684
WP	0.0684	0.529224052631579
WP	0.0684	0.545295368421053
WP	0.0684	0.531215842105263
WP	0.0684	0.0846711368421053
WP	0.0684	0.191827105263158
WP	0.0684	0.507468052631579
WP	0.0684	0.552846263157895
WP	0.0684	0.488016631578947
WP	0.0684	0.0277284947368421
WP	0.0684	0.0142549863157895
WP	0.0684	0.532387157894737
WP	0.0684	0.527134631578947
WP	0.0684	0.383442473684211
WP	0.0684	0.378984315789474
WP	0.0684	0.393412263157895
WP	0.0684	0.381532789473684
WP	0.0684	0.374243684210526
WP	0.0684	0.402198157894737
WP	0.0692	0.506231052631579
WP	0.0692	0.368822368421053
WP	0.0692	0.393442578947368
WP	0.0692	0.375716421052632
WP	0.0692	0.373638473684211
WP	0.0692	0.375386736842105
WP	0.0692	0.357248
WP	0.0692	0.364718210526316
WP	0.0692	0.385465
WP	0.0692	0.0379464368421053
WP	0.0692	0.520960105263158
WP	0.0692	0.551062157894737
WP	0.0692	0.528575052631579
WP	0.0692	0.544306105263158
WP	0.0692	0.531278526315789
WP	0.0692	0.0842023631578947
WP	0.0692	0.182722157894737
WP	0.0692	0.50798152631579
WP	0.0692	0.552245736842105
WP	0.0692	0.488613157894737
WP	0.0692	0.0270787526315789
WP	0.0692	0.01127999
WP	0.0692	0.531711578947368
WP	0.0692	0.527731947368421
WP	0.0692	0.383383421052632
WP	0.0692	0.378805947368421
WP	0.0692	0.392546263157895
WP	0.0692	0.381711842105263
WP	0.0692	0.37488
WP	0.0692	0.40263
WP	0.07	0.507414631578947
WP	0.07	0.368701105263158
WP	0.07	0.395109894736842
WP	0.07	0.375902684210526
WP	0.07	0.374122368421053
WP	0.07	0.376052578947368
WP	0.07	0.357598947368421
WP	0.07	0.366347105263158
WP	0.07	0.386177368421053
WP	0.07	0.0348664947368421
WP	0.07	0.517532736842105
WP	0.07	0.551177684210526
WP	0.07	0.528089894736842
WP	0.07	0.545415315789474
WP	0.07	0.531610263157895
WP	0.07	0.0833359578947368
WP	0.07	0.181699105263158
WP	0.07	0.507095894736842
WP	0.07	0.551670578947368
WP	0.07	0.487864631578947
WP	0.07	0.0273208789473684
WP	0.07	0.0110954447368421
WP	0.07	0.533028684210526
WP	0.07	0.528086684210526
WP	0.07	0.382867105263158
WP	0.07	0.378926421052632
WP	0.07	0.393838368421053
WP	0.07	0.381428947368421
WP	0.07	0.374569052631579
WP	0.07	0.403068210526316
WP	0.0708	0.506231052631579
WP	0.0708	0.368642263157895
WP	0.0708	0.393340842105263
WP	0.0708	0.374451315789474
WP	0.0708	0.372769368421053
WP	0.0708	0.374883263157895
WP	0.0708	0.35723252631579
WP	0.0708	0.366194736842105
WP	0.0708	0.384951473684211
WP	0.0708	0.0379906578947368
WP	0.0708	0.515743157894737
WP	0.0708	0.550314105263158
WP	0.0708	0.528321263157895
WP	0.0708	0.545370105263158
WP	0.0708	0.531245947368421
WP	0.0708	0.0842969368421053
WP	0.0708	0.167118263157895
WP	0.0708	0.507286789473684
WP	0.0708	0.552196684210526
WP	0.0708	0.488725263157895
WP	0.0708	0.0277536315789474
WP	0.0708	0.0122695505263158
WP	0.0708	0.531877947368421
WP	0.0708	0.527923894736842
WP	0.0708	0.381987631578947
WP	0.0708	0.378306578947368
WP	0.0708	0.392556473684211
WP	0.0708	0.382569263157895
WP	0.0708	0.374858263157895
WP	0.0708	0.401711789473684
WP	0.0716	0.506231052631579
WP	0.0716	0.369022736842105
WP	0.0716	0.392096105263158
WP	0.0716	0.374876105263158
WP	0.0716	0.373098210526316
WP	0.0716	0.374875157894737
WP	0.0716	0.357667263157895
WP	0.0716	0.365629315789474
WP	0.0716	0.384815842105263
WP	0.0716	0.0346038842105263
WP	0.0716	0.515642947368421
WP	0.0716	0.550634736842105
WP	0.0716	0.529016157894737
WP	0.0716	0.545062421052632
WP	0.0716	0.531444684210526
WP	0.0716	0.0823773526315789
WP	0.0716	0.163813631578947
WP	0.0716	0.506954894736842
WP	0.0716	0.55331552631579
WP	0.0716	0.488664263157895
WP	0.0716	0.0284260631578947
WP	0.0716	0.0150953331578947
WP	0.0716	0.532783263157895
WP	0.0716	0.525929
WP	0.0716	0.380926105263158
WP	0.0716	0.378327157894737
WP	0.0716	0.392476157894737
WP	0.0716	0.381229736842105
WP	0.0716	0.374171315789474
WP	0.0716	0.402287157894737
WP	0.0724	0.506231052631579
WP	0.0724	0.368301736842105
WP	0.0724	0.392818736842105
WP	0.0724	0.375775421052632
WP	0.0724	0.373779789473684
WP	0.0724	0.374832052631579
WP	0.0724	0.356459526315789
WP	0.0724	0.365406894736842
WP	0.0724	0.385899789473684
WP	0.0724	0.0323367526315789
WP	0.0724	0.517493157894737
WP	0.0724	0.550733421052632
WP	0.0724	0.528596263157895
WP	0.0724	0.544808
WP	0.0724	0.531716368421053
WP	0.0724	0.0820612684210526
WP	0.0724	0.149536736842105
WP	0.0724	0.507585894736842
WP	0.0724	0.552465842105263
WP	0.0724	0.488608421052632
WP	0.0724	0.0285042947368421
WP	0.0724	0.0121651831578947
WP	0.0724	0.532055473684211
WP	0.0724	0.525838263157895
WP	0.0724	0.382062315789474
WP	0.0724	0.377984105263158
WP	0.0724	0.392629263157895
WP	0.0724	0.381366421052632
WP	0.0724	0.373734052631579
WP	0.0724	0.401891368421053
WP	0.0732	0.506231052631579
WP	0.0732	0.368177263157895
WP	0.0732	0.392552578947368
WP	0.0732	0.375707684210526
WP	0.0732	0.373869157894737
WP	0.0732	0.375859052631579
WP	0.0732	0.355881894736842
WP	0.0732	0.366039894736842
WP	0.0732	0.384935315789474
WP	0.0732	0.0377951421052632
WP	0.0732	0.516535578947368
WP	0.0732	0.551083263157895
WP	0.0732	0.52897947368421
WP	0.0732	0.545394631578947
WP	0.0732	0.531516421052632
WP	0.0732	0.0822126210526316
WP	0.0732	0.152674157894737
WP	0.0732	0.507166578947368
WP	0.0732	0.552315631578947
WP	0.0732	0.488074315789474
WP	0.0732	0.0287374842105263
WP	0.0732	0.0120938410526316
WP	0.0732	0.532851210526316
WP	0.0732	0.526200368421053
WP	0.0732	0.381534684210526
WP	0.0732	0.377992631578947
WP	0.0732	0.391305421052632
WP	0.0732	0.382522421052632
WP	0.0732	0.37452
WP	0.0732	0.401450368421053
WP	0.074	0.495311263157895
WP	0.074	0.361949157894737
WP	0.074	0.385955263157895
WP	0.074	0.369488105263158
WP	0.074	0.366014736842105
WP	0.074	0.369117526315789
WP	0.074	0.348507421052632
WP	0.074	0.359210473684211
WP	0.074	0.376275842105263
WP	0.074	0.0381120315789474
WP	0.074	0.505001789473684
WP	0.074	0.543780789473684
WP	0.074	0.521321736842105
WP	0.074	0.536764789473684
WP	0.074	0.520575210526316
WP	0.074	0.0836796894736842
WP	0.074	0.163170263157895
WP	0.074	0.499706368421053
WP	0.074	0.539389684210526
WP	0.074	0.475600052631579
WP	0.074	0.0282322421052632
WP	0.074	0.00857508315789474
WP	0.074	0.52066647368421
WP	0.074	0.515727894736842
WP	0.074	0.375499105263158
WP	0.074	0.370165789473684
WP	0.074	0.384894052631579
WP	0.074	0.375202105263158
WP	0.074	0.368137947368421
WP	0.074	0.397491052631579
WP	0.0748	0.369136526315789
WP	0.0748	0.277988684210526
WP	0.0748	0.303233789473684
WP	0.0748	0.294390947368421
WP	0.0748	0.281064210526316
WP	0.0748	0.278345789473684
WP	0.0748	0.251187631578947
WP	0.0748	0.263564947368421
WP	0.0748	0.279540368421053
WP	0.0748	0.0309632526315789
WP	0.0748	0.397031578947368
WP	0.0748	0.433821263157895
WP	0.0748	0.387544947368421
WP	0.0748	0.439231263157895
WP	0.0748	0.398570368421053
WP	0.0748	0.0824711421052632
WP	0.0748	0.206762473684211
WP	0.0748	0.391309
WP	0.0748	0.419442157894737
WP	0.0748	0.350919947368421
WP	0.0748	0.0549715789473684
WP	0.0748	0.00746384947368421
WP	0.0748	0.422926105263158
WP	0.0748	0.403850157894737
WP	0.0748	0.288796157894737
WP	0.0748	0.293907368421053
WP	0.0748	0.311081947368421
WP	0.0748	0.289410736842105
